path	line_count
benchmarks/walk_hopper_v1/__init__.py	2
benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	557
benchmarks/walk_hopper_v1/build_dual_csr_snapshot.py	160
benchmarks/walk_hopper_v1/common.py	297
benchmarks/walk_hopper_v1/export_neo4j_import.py	95
benchmarks/walk_hopper_v1/generate_code_sparse_data.py	155
benchmarks/walk_hopper_v1/query_walk_snapshot.py	295
benchmarks/walk_hopper_v1/tests/test_walk_hopper_v1.py	485
scripts/render_final_testing_journal.py	383
scripts/run_three_tier_validation.py	382
src/app.rs	129
src/bench.rs	458
src/error.rs	119
src/graph.rs	225
src/lib.rs	36
src/low_ram.rs	1703
src/main.rs	305
src/parity.rs	82
src/runtime.rs	402
src/snapshot.rs	217
src/truth.rs	438
src/types.rs	596
tests/cli.rs	254
tests/library_contract.rs	250
tests/support/mod.rs	28
