symbol	path	start_line	end_line	kind	scope
load_psutil_module_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	30	30	regex	
load_neo4j_module_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	38	38	regex	
EngineMeasurement	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	47	47	regex	
corpus_identity_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	64	64	regex	
validate_engine_parity_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	68	68	regex	
measure_engine_latency_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	85	85	regex	
default_knight_bus_bin_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	158	158	regex	
parse_kv_line_output_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	162	162	regex	
failed_measurement_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	191	191	regex	
run_knight_bus_verify_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	212	212	regex	
run_knight_bus_rust_measurement_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	237	237	regex	
open_neo4j_engine_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	267	267	regex	
build_neo4j_runner_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	289	289	regex	
run_query_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	305	305	regex	
process_matches_neo4j_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	313	313	regex	
resolve_neo4j_server_process_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	327	327	regex	
write_report_bundle_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	368	368	regex	
run_benchmark_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	438	438	regex	
build_arg_parser_now	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	531	531	regex	
main	benchmarks/walk_hopper_v1/bench_walk_vs_neo4j.py	550	550	regex	
load_numpy_module_now	benchmarks/walk_hopper_v1/build_dual_csr_snapshot.py	25	25	regex	
count_node_rows_now	benchmarks/walk_hopper_v1/build_dual_csr_snapshot.py	33	33	regex	
build_dual_csr_snapshot	benchmarks/walk_hopper_v1/build_dual_csr_snapshot.py	38	38	regex	
build_arg_parser_now	benchmarks/walk_hopper_v1/build_dual_csr_snapshot.py	139	139	regex	
main	benchmarks/walk_hopper_v1/build_dual_csr_snapshot.py	147	147	regex	
ensure_parent_directory_now	benchmarks/walk_hopper_v1/common.py	24	24	regex	
write_json_file_now	benchmarks/walk_hopper_v1/common.py	28	28	regex	
read_json_file_now	benchmarks/walk_hopper_v1/common.py	33	33	regex	
sha256_file_hex_now	benchmarks/walk_hopper_v1/common.py	37	37	regex	
collect_directory_size_now	benchmarks/walk_hopper_v1/common.py	45	45	regex	
stable_mix_value_now	benchmarks/walk_hopper_v1/common.py	49	49	regex	
format_dense_node_key_now	benchmarks/walk_hopper_v1/common.py	60	60	regex	
parse_dense_node_index_now	benchmarks/walk_hopper_v1/common.py	64	64	regex	
build_layer_ranges_now	benchmarks/walk_hopper_v1/common.py	73	73	regex	
find_layer_index_now	benchmarks/walk_hopper_v1/common.py	91	91	regex	
count_residue_members_now	benchmarks/walk_hopper_v1/common.py	98	98	regex	
compute_node_degree_now	benchmarks/walk_hopper_v1/common.py	107	107	regex	
compute_edge_total_now	benchmarks/walk_hopper_v1/common.py	119	119	regex	
make_node_row_now	benchmarks/walk_hopper_v1/common.py	140	140	regex	
make_edge_row_now	benchmarks/walk_hopper_v1/common.py	152	152	regex	
iter_node_targets_now	benchmarks/walk_hopper_v1/common.py	160	160	regex	
measure_row_bytes_now	benchmarks/walk_hopper_v1/common.py	182	182	regex	
measure_dataset_bytes_now	benchmarks/walk_hopper_v1/common.py	190	190	regex	
choose_node_count_now	benchmarks/walk_hopper_v1/common.py	212	212	regex	
build_degree_summary_now	benchmarks/walk_hopper_v1/common.py	245	245	regex	
collect_runtime_env_now	benchmarks/walk_hopper_v1/common.py	264	264	regex	
read_csv_rows_now	benchmarks/walk_hopper_v1/common.py	280	280	regex	
percentile_value_now	benchmarks/walk_hopper_v1/common.py	285	285	regex	
export_neo4j_import_files	benchmarks/walk_hopper_v1/export_neo4j_import.py	16	16	regex	
build_arg_parser_now	benchmarks/walk_hopper_v1/export_neo4j_import.py	80	80	regex	
main	benchmarks/walk_hopper_v1/export_neo4j_import.py	87	87	regex	
parse_degree_palette_now	benchmarks/walk_hopper_v1/generate_code_sparse_data.py	31	31	regex	
choose_target_bytes_now	benchmarks/walk_hopper_v1/generate_code_sparse_data.py	40	40	regex	
generate_sparse_code_graph	benchmarks/walk_hopper_v1/generate_code_sparse_data.py	50	50	regex	
build_arg_parser_now	benchmarks/walk_hopper_v1/generate_code_sparse_data.py	120	120	regex	
main	benchmarks/walk_hopper_v1/generate_code_sparse_data.py	136	136	regex	
load_numpy_module_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	26	26	regex	
SnapshotGraph	benchmarks/walk_hopper_v1/query_walk_snapshot.py	35	35	regex	
load_snapshot_graph_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	44	44	regex	
query_snapshot_ids_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	67	67	regex	
query_snapshot_family_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	86	86	regex	
load_query_corpus_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	95	95	regex	
select_evenly_spaced_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	100	100	regex	
build_bucket_rows_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	112	112	regex	
build_query_corpus_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	155	155	regex	
collect_truth_answers_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	220	220	regex	
build_arg_parser_now	benchmarks/walk_hopper_v1/query_walk_snapshot.py	273	273	regex	
main	benchmarks/walk_hopper_v1/query_walk_snapshot.py	282	282	regex	
