subject_type	subject_rank	lane_id	lane_position	subject_id	source_paper_ids	reader_agent_id	reviewer_agent_id	inspection_status	terminal_disposition	failure_ids	evidence_gap	measurement_needed	reading_coverage	result_checksum
PAPER	1	G06-LANE-1	1	PAPER-HASH-0232e71ded2b5c43	PAPER-HASH-0232e71ded2b5c43	019ff4ca-000d-7952-b8ba-387ddb6f6728	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-LONG-WALKS-MULTIPLY-SCANS|FAIL-TIED-RANKS-RESIST-SAMPLING			ALL_PAGES:1-26	C1864FE6E13C76AD8908FC9FFBD637B263A35CC79308637CF8B4252310019A08
PAPER	2	G06-LANE-2	1	PAPER-0708.3259	PAPER-0708.3259	019ff4ca-037d-7f63-95ce-c93f3d2442d6	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-WIDE-FIELDS-ERASE-PACKING			ALL_PAGES:1-16	27F08E1C5B59C9264CDFD90F70B6669395CE2825D5189F1892745686FD712AB3
PAPER	3	G06-LANE-3	1	PAPER-2101.12631	PAPER-2101.12631	019ff4ca-07cb-7772-8b81-c4ea3e4e1a96	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-BOUNDED-FRONTIER-MISSES-NEAREST|FAIL-DIVERSITY-PRUNING-CONNECTIVITY-LOSS			ALL_PAGES:1-28	FF751A7ECC14867447532ED3ECC615459C6FFDA25E34BF07174F10B13A32ECB3
PAPER	4	G06-LANE-4	1	PAPER-HASH-c2a6a5317d82ac28	PAPER-HASH-c2a6a5317d82ac28	019ff4ca-0b79-7a20-9f68-4f44fc709ec1	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-HIGH-INDEGREE-DESTROYS-RUNTIME			ALL_PAGES:1-23	A2B6ED3451D825E2B6173D26166D37FD594BF2C556B842F1EF7B82FB3DD1DE42
PAPER	5	G06-LANE-5	1	PAPER-1011.5425	PAPER-1011.5425	019ff4ca-0f74-7e33-9a0c-1077c99ddbad	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-GRAPH-RESIDENCY-ADDS-PASSES			ALL_PAGES:1-13	1D40523FEA02693505F6615CED634A1A63C826F35C4716BBA9C160F712D5B095
PAPER	6	G06-LANE-1	2	PAPER-1806.08092	PAPER-1806.08092	019ff4ca-000d-7952-b8ba-387ddb6f6728	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-WRONG-SCATTER-MODE-WASTES			ALL_PAGES:1-28	2599A97CFD7A147DDFE0CDF40FE53C41EE5E544529541C3B40EFD1C3625C92CC
PAPER	7	G06-LANE-2	2	PAPER-2605.17992	PAPER-2605.17992	019ff4ca-037d-7f63-95ce-c93f3d2442d6	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-CORRELATED-LABEL-FILTER-REVERSAL			ALL_PAGES:1-15	63C843320BAD93288E5B8D5553B670557A8050B2A1E0AA91DF614B9C51327872
PAPER	8	G06-LANE-3	2	PAPER-2511.07886	PAPER-2511.07886	019ff4ca-07cb-7772-8b81-c4ea3e4e1a96	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-INLINE-THRESHOLD-INFLATES-MEMORY|FAIL-RESIDENT-REUSE-STARVES-PRIORITIES|FAIL-SYNCHRONOUS-BARRIERS-DEFEAT-PIPELINE			ALL_PAGES:1-27	746181AFF53D6CB87019AC0622FDC709F514CC3225960965D5E24EE50852543D
PAPER	9	G06-LANE-4	2	PAPER-2602.21514	PAPER-2602.21514	019ff4ca-0b79-7a20-9f68-4f44fc709ec1	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-NAVIGATION-SAMPLE-MISSES-REGIONS|FAIL-NEIGHBOR-CODES-AMPLIFY-STORAGE|FAIL-PAGESEARCH-COMPUTE-IDLES-DEVICE|FAIL-SPECULATIVE-READS-SATURATE-DEVICE			ALL_PAGES:1-15	A7EE5D5A4DFE15ECB1C974F86CE007E4081F928D64D3CD1EA00C2354EA37DB4E
PAPER	10	G06-LANE-5	2	PAPER-1905.04264	PAPER-1905.04264	019ff4ca-0f74-7e33-9a0c-1077c99ddbad	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-INTERVAL-LOG-EXCEEDS-MEMORY			ALL_PAGES:1-13	19F3862CA377AD025AADE67EDFD5D0FAB3E2A99AF529959EAD5C2E57894364B6
PAPER	11	G06-LANE-1	3	PAPER-2603.01779	PAPER-2603.01779	019ff4ca-000d-7952-b8ba-387ddb6f6728	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-ESTIMATOR-OMITS-PEAK-OVERHEAD|FAIL-TIGHT-MEMORY-INCREASES-RUNTIME			ALL_PAGES:1-13	FAD5D669169C21A6640D333D3C875DE7071E5FC6CDA9220BE927D09F3D1E4592
PAPER	12	G06-LANE-2	3	PAPER-2605.02171	PAPER-2605.02171	019ff4ca-037d-7f63-95ce-c93f3d2442d6	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-INCOMPATIBLE-GEOMETRY-COLLAPSES-RECALL			ALL_PAGES:1-13	F81638089E293883D4B62578D5502B902397C9BF79F6C08ABDF51215A11BBF05
PAPER	13	G06-LANE-3	3	PAPER-2010.09913	PAPER-2010.09913	019ff4ca-07cb-7772-8b81-c4ea3e4e1a96	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-EARLY-ITERATIONS-PAY-CHECKS|FAIL-WEIGHTED-EDGES-NEED-VALUES			ALL_PAGES:1-14	27002B538724103F4C23275B3C57890343C1C30BBD42ED7E1A31DB5DC5E64F27
PAPER	14	G06-LANE-4	3	PAPER-2012.10026	PAPER-2012.10026	019ff4ca-0b79-7a20-9f68-4f44fc709ec1	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-FULL-REORDER-DOMINATES-TRAVERSAL			ALL_PAGES:1-11	D38BA63BA7A9BE019575597263E05D2712205D06C24A1670CDFA9350E1DFF577
PAPER	15	G06-LANE-5	3	PAPER-2507.12925	PAPER-2507.12925	019ff4ca-0f74-7e33-9a0c-1077c99ddbad	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-LONG-PATHS-REPEAT-SCANS			ALL_PAGES:1-22	ED230EFEF2FA888408AB890E82D792A7C83F7B572B81E2D852A5A288ADEEDD87
PAPER	16	G06-LANE-1	4	PAPER-1709.07122	PAPER-1709.07122	019ff4ca-000d-7952-b8ba-387ddb6f6728	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-LARGE-PARTITIONS-THRASH-CACHE			ALL_PAGES:1-15	BEA770DC201079C049825C11C17DB63BAF9FA73D4DBC164A0AA6D55E4AAEE38D
PAPER	17	G06-LANE-2	4	PAPER-1304.4453	PAPER-1304.4453	019ff4ca-037d-7f63-95ce-c93f3d2442d6	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-PARTIAL-COARSE-GRAPH-AMPLIFICATION			ALL_PAGES:1-16	D431B912CF7447476BA9D7F84FF5715F63FF8E5449B55DEEBA39E667C687DA3F
PAPER	18	G06-LANE-3	4	PAPER-2104.09616	PAPER-2104.09616	019ff4ca-07cb-7772-8b81-c4ea3e4e1a96	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-RESIDUAL-PRUNING-BREAKS-EXACTNESS			ALL_PAGES:1-6	04C90F317945836CB8036B26693B36D9793C9104F6EA1C3B9F635ECC3FBE6740
PAPER	19	G06-LANE-4	4	PAPER-2112.00098	PAPER-2112.00098	019ff4ca-0b79-7a20-9f68-4f44fc709ec1	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-AGING-CAPACITY-ABORTS-INSERTIONS			ALL_PAGES:1-23	4EC21951D0B967E8210C8276393015E218D8B7C90A58C4773E851C6495C12591
PAPER	20	G06-LANE-5	4	PAPER-2503.00430	PAPER-2503.00430	019ff4ca-0f74-7e33-9a0c-1077c99ddbad	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-LARGE-FRONTIERS-OVERWHELM-SORTING			ALL_PAGES:1-5	C7D0C583C016AE256C1A8F07BB4358D2DEB17F0494B2D9339FA06DDE8C5B9B93
PAPER	21	G06-LANE-1	5	PAPER-HASH-b12240577b20eaad	PAPER-HASH-b12240577b20eaad	019ff4ca-000d-7952-b8ba-387ddb6f6728	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-TIGHT-MEMORY-INCREASES-RUNTIME			ALL_PAGES:1-22	748C10D482DE78DFCE73D4A43C7430F4AC2663840A9128C1115E142C1A370474
PAPER	22	G06-LANE-2	5	PAPER-2605.19335	PAPER-2605.19335	019ff4ca-037d-7f63-95ce-c93f3d2442d6	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-FEEDBACK-LATENCY-TARGET-OVERSHOOT			ALL_PAGES:1-15	5EB0ECA6EBB828DE998A441B72F791722CA7CD419EF087E8DB6B4356355395C3
PAPER	23	G06-LANE-3	5	PAPER-1602.02864	PAPER-1602.02864	019ff4ca-07cb-7772-8b81-c4ea3e4e1a96	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-DENSE-COLUMN-EXCEEDS-MEMORY			ALL_PAGES:1-14	555DD47DC35F49FDE20B8260FA563BDD5B3AA21B6A72EEB8A997D7877FC1EE8A
PAPER	24	G06-LANE-4	5	PAPER-1603.01876	PAPER-1603.01876	019ff4ca-0b79-7a20-9f68-4f44fc709ec1	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-STAGE-MATERIALIZATION-EXCEEDS-MEMORY			ALL_PAGES:1-9	5BACFE8E12558582BF85BC0FD6C9E11F2745CFAF2DE26A875F2EE794AA997A9A
PAPER	25	G06-LANE-5	5	PAPER-1810.08473	PAPER-1810.08473	019ff4ca-0f74-7e33-9a0c-1077c99ddbad	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	NEGATIVE_EVIDENCE_EXTRACTED	FAIL-DENSE-MOVES-SATURATE-QUEUE			ALL_PAGES:1-25	D2C2B0B9DC29FF8D28D30F2FCD9B4AC8406A660FC7F14129F6E33381EF37C398
PATTERN	1	G06-LANE-1	1	PAT-BALANCE-BUCKETED-PACKED-SETS	PAPER-0708.3259	019ff4ca-000d-7952-b8ba-387ddb6f6728	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	ANALYTICAL_TEST_LINKED	FAIL-WIDE-FIELDS-ERASE-PACKING			PAPER_ROWS:PAPER-0708.3259	FFD7AE067587CC9C59F3C40E55C4F4C0165049DC794FB66C44760B2D2DDFD20B
PATTERN	2	G06-LANE-2	1	PAT-BALANCE-PHASE-SPECIFIC-WORKLOADS	PAPER-2012.10026	019ff4ca-037d-7f63-95ce-c93f3d2442d6	019ff4ec-552b-7a10-bab1-0a7742bae998	COMPLETE	SOURCE_FAILURE_LINKED	FAIL-PHASE-SCHEDULING-WORKLOAD-REVERSAL			PAPER_ROWS:PAPER-2012.10026	750A7AF5BEEA9C5BB01079BC84E4B1E9BFA941FCE83F6F3A0C84C91BF5B2AACF
