selection_rank	lane_id	lane_position	pattern_id	source_paper_ids	source_domain	selection_score	selection_basis	reader_agent_id	reviewer_agent_id	inspection_status	terminal_disposition	transfer_ids	evidence_gap	measurement_needed	result_checksum
1	G07-LANE-1	1	PAT-BOUND-SEARCH-CANDIDATE-FRONTIER	PAPER-2101.12631	graph-based approximate nearest-neighbor search	98	A007_BOUND+PRIORITY_ALGORITHM+OPERATIONAL_INVARIANT+G06_CHALLENGE	019ff565-d7d4-7ec1-80ef-8bb87d56dbaa	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-BOUND-SEARCH-FRONTIER-STATE		G09_CALIBRATE:a_physical_read,a_storage_overlap,b_candidate_entry,b_fixed_runtime,b_result_entry,b_spill_record,b_visited_entry,b_worker_buffer,b_worker_state,t_index_probe,t_query_calibration	A26A42780463F6B5FB66BB1AC36F4322102AA68AD5884EDFC2111A967A234509
2	G07-LANE-1	2	PAT-DECOMPOSE-DIFFUSION-INTO-STAGES	PAPER-2104.09616	local personalized PageRank diffusion	96	A007_BOUND+PAGERANK+STAGED_LIVE_STATE+G06_CHALLENGE	019ff565-d7d4-7ec1-80ef-8bb87d56dbaa	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-STAGE-LINEAR-DIFFUSION-STATE		G09_CALIBRATE:a_score_transfer,a_stage_payload_overlap,a_topology_read,b_scheduler_pair,b_stage_edge,b_stage_fixed,b_stage_residual,b_stage_score,b_stage_vertex,b_stage_worker,t_extract_edge,t_extract_vertex,t_overlap_check	54161D3C282CF2AD1F341BE39C3B62A84FC7157D56B965CFCF0FA63527859F1D
3	G07-LANE-1	3	PAT-PRUNE-SETTLED-SEARCH-STATE	PAPER-2507.12925	semi-external exact breadth-first search state reduction	95	A007_BOUND+BFS_EXACTNESS+STATE_RELEASE+G06_CHALLENGE	019ff565-d7d4-7ec1-80ef-8bb87d56dbaa	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-PRUNE-FINALIZED-TRAVERSAL-STATE		G09_CALIBRATE:a_generation_overlap,a_rewrite_overlap,a_scan_physical,b_edge_batch,b_merge_state,b_node_state,b_prune_meta,b_reduce_queue,b_runtime,b_scan_buffer,b_tree_edge,t_degree_classify,t_initial_edge_scan,t_stream_write	88A296889835B79B94ACCF0164C431C2F077A44D90058EBE05159252ED0AF89D
4	G07-LANE-1	4	PAT-THRESHOLD-INMEMORY-SKETCH-GROWTH	PAPER-2507.12925	semi-external exact breadth-first search on directed graphs	93	A007_ADMISSION+BFS_EXACTNESS+FIXED_RESIDENT_STATE+G06_CHALLENGE	019ff565-d7d4-7ec1-80ef-8bb87d56dbaa	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-CAP-STREAMING-TRAVERSAL-SKETCH		G09_CALIBRATE:a_generation_overlap,a_rewrite_physical,a_scan_physical,b_edge_slot,b_node_attribute,b_order_entry,b_runtime,b_sync_state,b_worker_edge,b_worker_queue,t_initialize_node,t_prepare_write,t_segment_edge	3CAF92A6D0976C502B9DF6FE66578A8C12193084C42180E4427238D443437795
5	G07-LANE-1	5	PAT-REVISIT-CHANGED-NEIGHBORHOODS-ONLY	PAPER-1810.08473	incremental local-move scheduling for community detection	92	A007_WORK_BOUND+COMMUNITIES+ACTIVE_QUEUE+G06_CHALLENGE	019ff565-d7d4-7ec1-80ef-8bb87d56dbaa	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-REQUEUE-DEPENDENCY-AFFECTED-STATE		G09_CALIBRATE:a_adjacency_read,a_checkpoint_overlap,b_community_stat,b_membership,b_queue_entry,b_queue_spill,b_sync_membership,b_worker_delta,b_worker_queue,t_partition_init,t_queue_init,t_stat_init	0D5ADECFD2718D70FDEFA31627E90704813F8A6F7560C0A9F0C9E62A33BBF9D2
6	G07-LANE-2	1	PAT-COMPRESS-SORTED-ID-STREAMS	PAPER-HASH-b12240577b20eaad	lossless graph edge-stream compression for iterative out-of-core processing	99	A007_STORAGE_BOUND+MULTI_ALGORITHM+LOSSLESS_STREAM+G06_CHALLENGE	019ff565-d735-77d1-9567-5707d5280cea	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-GUARD-COMPRESSED-ID-STREAMS		G09_CALIBRATE:c_allocator_overhead_bytes,c_encode_time_per_edge,c_filesystem_overhead_bytes,c_merge_time_per_edge_orientation,c_physical_read_amplification,c_scheduler_state_bytes,c_sort_time_per_edge_log_edge	BAA61EB31F523E2AD94CEDFE7FEFC0C4ADC1F889FEDD47E713B766EBD108C493
7	G07-LANE-2	2	PAT-INLINE-LOW-DEGREE-ADJACENCIES	PAPER-2511.07886	hybrid in-memory and SSD graph storage	98	A007_RAM_PLACEMENT+MULTI_ALGORITHM+DEGREE_SHAPED_STORAGE+G06_CHALLENGE	019ff565-d735-77d1-9567-5707d5280cea	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-GUARD-INLINED-ADJACENCY-THRESHOLD		G09_CALIBRATE:c_allocator_overhead_bytes,c_block_fragmentation_bytes,c_filesystem_overhead_bytes,c_idmap_time_per_vertex,c_partition_time_per_edge,c_physical_read_amplification,c_reorder_time_per_vertex_log_vertex,c_scheduler_state_bytes,c_virtual_time_per_boundary	8EF4CE6526863078F9A61E7C9E7EDF43EE8403C1DD859C90403909E15A50F066
8	G07-LANE-2	3	PAT-DECOUPLE-NAVIGATION-VECTOR-BLOCKS	PAPER-2603.01779	disk block layout for high-dimensional graph ANN	96	A007_RAM_IO_SPLIT+KNN+READ_SHAPED_STORAGE+G06_CHALLENGE	019ff565-d735-77d1-9567-5707d5280cea	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-PROBE-SPLIT-NAVIGATION-VECTORS		G09_CALIBRATE:c_allocator_overhead_bytes,c_filesystem_overhead_bytes,c_layout_write_time_per_byte,c_physical_read_amplification,c_pruning_build_time_per_vector,c_scheduler_state_bytes	45B9CD525D5C0AE2B2F0786E565CBAB03F1D79920350106B842C4A9844B2B388
9	G07-LANE-2	4	PAT-PACK-NONEMPTY-SPARSE-ROWS	PAPER-1602.02864	compact tiled sparse-matrix encoding for graph-shaped SpMM operands	94	A007_STORAGE_ESTIMATE+SPARSE_MATRIX+NON_GRAPH_DOMAIN+G06_CHALLENGE	019ff565-d735-77d1-9567-5707d5280cea	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-GUARD-SPARSE-ROW-PACKING		G09_CALIBRATE:c_allocator_overhead_bytes,c_directory_time_per_tile,c_encode_time_per_nonzero,c_filesystem_overhead_bytes,c_physical_read_amplification,c_scheduler_state_bytes,c_source_scan_time_per_byte	F00B068923E9B16310160936EA367FE4BEF5735EBF49B67F8FAA3B87AE9BF03F
10	G07-LANE-2	5	PAT-INFER-UNWEIGHTED-EDGE-VALUES	PAPER-2010.09913	SIMD-oriented algebraic breadth-first search	93	A007_BYTE_ELISION+BFS+SEMIRING_INVARIANT+G06_CHALLENGE	019ff565-d735-77d1-9567-5707d5280cea	019ff57d-bc20-7213-91be-cfd50816059a	COMPLETE	TRANSFER_CREATED	XFER-ELIDE-DERIVABLE-EDGE-VALUES		G09_CALIBRATE:c_allocator_overhead_bytes,c_chunk_build_time_per_edge,c_container_overhead_bytes,c_kernel_spill_bytes,c_physical_read_amplification,c_scheduler_state_bytes,c_semantic_validation_time_per_edge,c_sort_time_per_vertex_log_vertex	BA63DA613252F810FE3BBF1852D2002633FB0C0AE4482ECCB16663B570F0771E
