candidate_rank	candidate_id	lane_id	lane_position	primary_niche	generator_identity	reviewer_identity	highest_completed_stage	terminal_disposition	inherited_transfer_ids	linked_g06_failure_ids	result_checksum
1	ARCH-G08-001	G08-LANE-RAM	1	LOWEST_RAM	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
2	ARCH-G08-002	G08-LANE-RAM	2	LOWEST_RAM	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
3	ARCH-G08-003	G08-LANE-RAM	3	LOWEST_RAM	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
4	ARCH-G08-004	G08-LANE-RAM	4	LOWEST_RAM	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
5	ARCH-G08-005	G08-LANE-RAM	5	LOWEST_RAM	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
6	ARCH-G08-006	G08-LANE-RAM	6	LOWEST_RAM	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
7	ARCH-G08-007	G08-LANE-RAM	7	LOWEST_RAM	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
8	ARCH-G08-008	G08-LANE-RAM	8	LOWEST_RAM	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
9	ARCH-G08-009	G08-LANE-TAIL	1	LOWEST_TAIL_LATENCY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
10	ARCH-G08-010	G08-LANE-TAIL	2	LOWEST_TAIL_LATENCY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
11	ARCH-G08-011	G08-LANE-TAIL	3	LOWEST_TAIL_LATENCY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
12	ARCH-G08-012	G08-LANE-TAIL	4	LOWEST_TAIL_LATENCY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
13	ARCH-G08-013	G08-LANE-TAIL	5	LOWEST_TAIL_LATENCY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
14	ARCH-G08-014	G08-LANE-TAIL	6	LOWEST_TAIL_LATENCY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
15	ARCH-G08-015	G08-LANE-TAIL	7	LOWEST_TAIL_LATENCY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
16	ARCH-G08-016	G08-LANE-TAIL	8	LOWEST_TAIL_LATENCY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
17	ARCH-G08-017	G08-LANE-PREDICT	1	HIGHEST_PREDICTABILITY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
18	ARCH-G08-018	G08-LANE-PREDICT	2	HIGHEST_PREDICTABILITY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
19	ARCH-G08-019	G08-LANE-PREDICT	3	HIGHEST_PREDICTABILITY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
20	ARCH-G08-020	G08-LANE-PREDICT	4	HIGHEST_PREDICTABILITY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
21	ARCH-G08-021	G08-LANE-PREDICT	5	HIGHEST_PREDICTABILITY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
22	ARCH-G08-022	G08-LANE-PREDICT	6	HIGHEST_PREDICTABILITY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
23	ARCH-G08-023	G08-LANE-PREDICT	7	HIGHEST_PREDICTABILITY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
24	ARCH-G08-024	G08-LANE-PREDICT	8	HIGHEST_PREDICTABILITY	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
25	ARCH-G08-025	G08-LANE-PREP	1	LOWEST_PREPARATION_STORAGE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
26	ARCH-G08-026	G08-LANE-PREP	2	LOWEST_PREPARATION_STORAGE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
27	ARCH-G08-027	G08-LANE-PREP	3	LOWEST_PREPARATION_STORAGE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
28	ARCH-G08-028	G08-LANE-PREP	4	LOWEST_PREPARATION_STORAGE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
29	ARCH-G08-029	G08-LANE-PREP	5	LOWEST_PREPARATION_STORAGE	UNASSIGNED	UNASSIGNED	RAW_GENERATED				
