source_paper_id	target_paper_id	edge_type	discovery_source	relevance_reason	verified_at
PAPER-0708.4284	PAPER-HASH-1fdba5647c53becd	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-0708.4284	PAPER-HASH-83539d56cdb3def2	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-0708.4284	PAPER-HASH-ec47d3fed28cc4f4	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1304.4453	PAPER-1205.6233	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1304.4453	PAPER-LEGACY-76c9bc3e76b6c29c	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1304.4453	PAPER-LEGACY-8e42775586c27133	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1407.6755	PAPER-0708.3259	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1407.6755	PAPER-0909.5146	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-1407.6755	PAPER-1011.5200	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-1407.6755	PAPER-HASH-586f7dee44fe35d8	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1407.6755	PAPER-HASH-d9d30266bb7ae798	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1602.02864	PAPER-1205.6233	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1602.02864	PAPER-HASH-ab142af809564673	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1602.02864	PAPER-HASH-f40139af4fe0210a	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1603.01876	PAPER-HASH-ab142af809564673	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1603.01876	PAPER-HASH-d84dd734ef8e9856	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1603.01876	PAPER-HASH-f89c8e85109a308a	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1604.06264	PAPER-1407.6755	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1708.07271	PAPER-1011.5425	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1708.07271	PAPER-HASH-1b7aef8b2521014e	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1708.07271	PAPER-HASH-d84dd734ef8e9856	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1709.07122	PAPER-2203.15534	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1709.07122	PAPER-HASH-45105a9c93fc6719	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1709.07122	PAPER-HASH-d84dd734ef8e9856	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1806.08092	PAPER-1905.04264	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1810.08473	PAPER-1503.01322	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-1810.08473	PAPER-LEGACY-3c0de0428906d02c	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1810.08473	PAPER-LEGACY-76c9bc3e76b6c29c	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1810.08473	PAPER-LEGACY-f185bfda84d1f4c4	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1812.10950	PAPER-HASH-834f3c2395068802	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1812.10950	PAPER-HASH-a766262d203f44e8	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1812.10950	PAPER-HASH-f8599e4dc4eee483	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1905.04264	PAPER-0709.2938	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1905.04264	PAPER-HASH-00135e3784d68ba1	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1905.04264	PAPER-HASH-fb31f720c2b9f950	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-1906.03113	PAPER-2010.09913	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-2003.09269	PAPER-1603.01876	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2010.09913	PAPER-1104.4518	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-2010.09913	PAPER-1205.6233	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2010.09913	PAPER-1604.02844	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-2010.09913	PAPER-HASH-2621af3903ad7063	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2010.09913	PAPER-HASH-b2ed9bf3718a79c1	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2012.10026	PAPER-1104.4518	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-2012.10026	PAPER-1205.6233	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2012.10026	PAPER-1705.04590	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-2012.10026	PAPER-HASH-5099b36696ec67c8	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2012.10026	PAPER-HASH-b7f233f20fba0d28	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2104.09616	PAPER-1404.3181	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T12:39:38Z
PAPER-2104.09616	PAPER-HASH-6289e63fdfdba321	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2104.09616	PAPER-HASH-d84dd734ef8e9856	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2104.09616	PAPER-HASH-e32d79121d4e2311	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2104.12523	PAPER-1812.10950	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2112.00098	PAPER-HASH-528bbeb9ddb00f0f	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2112.00098	PAPER-HASH-71918cad15b0fae2	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2112.00098	PAPER-HASH-97a50d1a904bd476	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2203.14540	PAPER-1708.07271	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2204.11137	PAPER-HASH-0e933492fdec6483	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2204.11137	PAPER-HASH-76e709744254c2c6	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
PAPER-2204.11137	PAPER-HASH-ea7c06fc2ff131a9	CITES	SEMANTIC_SCHOLAR_API	PROVIDER_RELATION=references_or_citations_endpoint	2026-08-11T11:54:42Z
