stop_id	candidate_identity	seed_paper_id	parent_paper_id	depth	direction	decision_score	score_breakdown	architecture_question_ids	provider_name	provider_id	reason
STOP-G03-b928062731efcf01	PAPER-HASH-1deb2dfe1ee85c12	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	0	ALG=0;MECH=0;ROLE=0;AGE=10;FALS=0	NONE	SemanticScholar	S2:9a5a7a1b13f51af9369ef4ddeb75bb8b5ff87e70	NO_DECISION_IMPACT
STOP-G03-4050bd0d004a4b0c	PAPER-HASH-294ea92d49c6de3d	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	25	ALG=0;MECH=25;ROLE=0;AGE=0;FALS=0	AQ-003|AQ-004|AQ-006|AQ-008|AQ-010|AQ-011|AQ-012	SemanticScholar	S2:62b3718644aa59d23df6a17dbf81b93b5854c595	PER_SEED_DIRECTION_QUOTA
STOP-G03-e6e57b98cde1049f	PAPER-HASH-2b92f5eb4bc5c439	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	65	ALG=40;MECH=25;ROLE=0;AGE=0;FALS=0	AQ-003|AQ-004|AQ-005|AQ-006|AQ-007|AQ-008|AQ-010|AQ-011|AQ-012	SemanticScholar	S2:c9bb3728b1e2afe09def0733caffcb99a68baef3	PER_SEED_DIRECTION_QUOTA
STOP-G03-0ce647e14f03490c	PAPER-HASH-3150deeb9f638a4c	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	65	ALG=40;MECH=25;ROLE=0;AGE=0;FALS=0	AQ-003|AQ-004|AQ-005|AQ-006|AQ-007|AQ-008|AQ-010|AQ-011|AQ-012	SemanticScholar	S2:d04cc7932eeca4b4f2bd1a26a07acb91507e0f89	PER_SEED_DIRECTION_QUOTA
STOP-G03-fc0b10a726b870ea	PAPER-HASH-34e37b190bfe5b8b	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	35	ALG=0;MECH=25;ROLE=0;AGE=10;FALS=0	AQ-002|AQ-006|AQ-009	SemanticScholar	S2:de211a0abd7d966a0980d9e196101272f5b9f335	PER_SEED_DIRECTION_QUOTA
STOP-G03-48f20604d8acb237	PAPER-HASH-4f7716c0ca82ce53	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	35	ALG=0;MECH=25;ROLE=0;AGE=10;FALS=0	AQ-001|AQ-003|AQ-010	SemanticScholar	S2:e60cbae0a44a5b5d94888946ef2a15c7036ce853	PER_SEED_DIRECTION_QUOTA
STOP-G03-7c2e7f67e3ddd24b	PAPER-HASH-4fa8c10b0907aaa7	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	25	ALG=0;MECH=25;ROLE=0;AGE=0;FALS=0	AQ-003|AQ-004|AQ-008|AQ-010|AQ-011|AQ-012	SemanticScholar	S2:9d2796bba8813e29013ba9874cd125aba9b8748f	PER_SEED_DIRECTION_QUOTA
STOP-G03-305f8c8f73e8cc4f	PAPER-HASH-c6919084606ae520	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	25	ALG=0;MECH=25;ROLE=0;AGE=0;FALS=0	AQ-003|AQ-004|AQ-008|AQ-010|AQ-011|AQ-012	SemanticScholar	S2:71ce98cbb01319b2796a1fd6e2deb124df0cc975	PER_SEED_DIRECTION_QUOTA
STOP-G03-2350ebfa39051b2f	PAPER-HASH-ce0644a8e0c4ff44	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	25	ALG=0;MECH=25;ROLE=0;AGE=0;FALS=0	AQ-003|AQ-004|AQ-005|AQ-006|AQ-008|AQ-011	SemanticScholar	S2:9386590554c429e80402c082e9d6a2398bcc36b3	PER_SEED_DIRECTION_QUOTA
STOP-G03-3694affd1e395a4e	PAPER-HASH-d9d5d6e0ca1dd8db	PAPER-0708.4284	PAPER-0708.4284	1	BACKWARD	25	ALG=0;MECH=25;ROLE=0;AGE=0;FALS=0	AQ-003|AQ-004|AQ-006|AQ-008|AQ-010|AQ-011|AQ-012	SemanticScholar	S2:c08dace68db893edb2b0a12fe7ee5ea34003b1e6	PER_SEED_DIRECTION_QUOTA
