request_id	goal_id	query_id	variant_id	service	operation	normalized_query	parameters	requested_at_utc	page_cursor	response_status	result_count	response_checksum	client_version	cache_status	attempt	retry_events	rate_limit_events	policy_url	policy_checked_date	cache_path	terminal_state
REQ-G02-0001	G02	QRY-001	QRY-001-ALL	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""algorithm-shaped storage"" OR all:""algorithm-native layout"" OR all:""immutable canonical generation"" OR all:""snapshot epoch"" OR all:""physical view portfolio"" OR all:""compiled view portfolio"" OR all:""algorithm-native artifact"" OR all:""compiled physical view"") AND (cat:cs.DS OR cat:cs.DB OR cat:cs.PF) AND NOT all:""generic graph database"" AND NOT all:""survey only"" AND NOT all:""programming-language comparison"""	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22algorithm-shaped%20storage%22%20OR%20all%3A%22algorithm-native%20layout%22%20OR%20all%3A%22immutable%20canonical%20generation%22%20OR%20all%3A%22snapshot%20epoch%22%20OR%20all%3A%22physical%20view%20portfolio%22%20OR%20all%3A%22compiled%20view%20portfolio%22%20OR%20all%3A%22algorithm-native%20artifact%22%20OR%20all%3A%22compiled%20physical%20view%22%29%20AND%20%28cat%3Acs.DS%20OR%20cat%3Acs.DB%20OR%20cat%3Acs.PF%29%20AND%20NOT%20all%3A%22generic%20graph%20database%22%20AND%20NOT%20all%3A%22survey%20only%22%20AND%20NOT%20all%3A%22programming-language%20comparison%22&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:37:53Z	0	200	0	7f4077398a190454a43b703ff2529e030b387670c3deea38ccf91ccc92724380	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-001-ALL.overconstrained.xml	FAILED
REQ-G02-0002	G02	QRY-001	QRY-001-PRE2001	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""algorithm-shaped storage"" OR all:""algorithm-native layout"" OR all:""immutable canonical generation"" OR all:""snapshot epoch"" OR all:""physical view portfolio"" OR all:""compiled view portfolio"" OR all:""algorithm-native artifact"" OR all:""compiled physical view"") AND (cat:cs.DS OR cat:cs.DB OR cat:cs.PF) AND NOT all:""generic graph database"" AND NOT all:""survey only"" AND NOT all:""programming-language comparison"" AND submittedDate:[197001010000 TO 200012312359]"	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22algorithm-shaped%20storage%22%20OR%20all%3A%22algorithm-native%20layout%22%20OR%20all%3A%22immutable%20canonical%20generation%22%20OR%20all%3A%22snapshot%20epoch%22%20OR%20all%3A%22physical%20view%20portfolio%22%20OR%20all%3A%22compiled%20view%20portfolio%22%20OR%20all%3A%22algorithm-native%20artifact%22%20OR%20all%3A%22compiled%20physical%20view%22%29%20AND%20%28cat%3Acs.DS%20OR%20cat%3Acs.DB%20OR%20cat%3Acs.PF%29%20AND%20NOT%20all%3A%22generic%20graph%20database%22%20AND%20NOT%20all%3A%22survey%20only%22%20AND%20NOT%20all%3A%22programming-language%20comparison%22%20AND%20submittedDate%3A%5B197001010000%20TO%20200012312359%5D&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:37:57Z	0	200	0	bc3e2467e3b9f065b7e5e5cf82baf659b24fbfd5b43adbeb26aaf393e6d526d1	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-001-PRE2001.overconstrained.xml	FAILED
REQ-G02-0003	G02	QRY-001	QRY-001-2001_2010	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""algorithm-shaped storage"" OR all:""algorithm-native layout"" OR all:""immutable canonical generation"" OR all:""snapshot epoch"" OR all:""physical view portfolio"" OR all:""compiled view portfolio"" OR all:""algorithm-native artifact"" OR all:""compiled physical view"") AND (cat:cs.DS OR cat:cs.DB OR cat:cs.PF) AND NOT all:""generic graph database"" AND NOT all:""survey only"" AND NOT all:""programming-language comparison"" AND submittedDate:[200101010000 TO 201012312359]"	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22algorithm-shaped%20storage%22%20OR%20all%3A%22algorithm-native%20layout%22%20OR%20all%3A%22immutable%20canonical%20generation%22%20OR%20all%3A%22snapshot%20epoch%22%20OR%20all%3A%22physical%20view%20portfolio%22%20OR%20all%3A%22compiled%20view%20portfolio%22%20OR%20all%3A%22algorithm-native%20artifact%22%20OR%20all%3A%22compiled%20physical%20view%22%29%20AND%20%28cat%3Acs.DS%20OR%20cat%3Acs.DB%20OR%20cat%3Acs.PF%29%20AND%20NOT%20all%3A%22generic%20graph%20database%22%20AND%20NOT%20all%3A%22survey%20only%22%20AND%20NOT%20all%3A%22programming-language%20comparison%22%20AND%20submittedDate%3A%5B200101010000%20TO%20201012312359%5D&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:38:01Z	0	200	0	866146713ed7c2a5d3024b187ff968f7a5e4b8b391dff1fae6d889a80c3c62d8	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-001-2001_2010.overconstrained.xml	FAILED
REQ-G02-0004	G02	QRY-001	QRY-001-2011_2020	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""algorithm-shaped storage"" OR all:""algorithm-native layout"" OR all:""immutable canonical generation"" OR all:""snapshot epoch"" OR all:""physical view portfolio"" OR all:""compiled view portfolio"" OR all:""algorithm-native artifact"" OR all:""compiled physical view"") AND (cat:cs.DS OR cat:cs.DB OR cat:cs.PF) AND NOT all:""generic graph database"" AND NOT all:""survey only"" AND NOT all:""programming-language comparison"" AND submittedDate:[201101010000 TO 202012312359]"	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22algorithm-shaped%20storage%22%20OR%20all%3A%22algorithm-native%20layout%22%20OR%20all%3A%22immutable%20canonical%20generation%22%20OR%20all%3A%22snapshot%20epoch%22%20OR%20all%3A%22physical%20view%20portfolio%22%20OR%20all%3A%22compiled%20view%20portfolio%22%20OR%20all%3A%22algorithm-native%20artifact%22%20OR%20all%3A%22compiled%20physical%20view%22%29%20AND%20%28cat%3Acs.DS%20OR%20cat%3Acs.DB%20OR%20cat%3Acs.PF%29%20AND%20NOT%20all%3A%22generic%20graph%20database%22%20AND%20NOT%20all%3A%22survey%20only%22%20AND%20NOT%20all%3A%22programming-language%20comparison%22%20AND%20submittedDate%3A%5B201101010000%20TO%20202012312359%5D&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:38:05Z	0	200	0	e03a16a3139a79983f72d3599a7051fdd1780ef6ea75eebf61603172a94280a2	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-001-2011_2020.overconstrained.xml	FAILED
REQ-G02-0005	G02	QRY-001	QRY-001-2021_CURRENT	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""algorithm-shaped storage"" OR all:""algorithm-native layout"" OR all:""immutable canonical generation"" OR all:""snapshot epoch"" OR all:""physical view portfolio"" OR all:""compiled view portfolio"" OR all:""algorithm-native artifact"" OR all:""compiled physical view"") AND (cat:cs.DS OR cat:cs.DB OR cat:cs.PF) AND NOT all:""generic graph database"" AND NOT all:""survey only"" AND NOT all:""programming-language comparison"" AND submittedDate:[202101010000 TO 202608112359]"	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22algorithm-shaped%20storage%22%20OR%20all%3A%22algorithm-native%20layout%22%20OR%20all%3A%22immutable%20canonical%20generation%22%20OR%20all%3A%22snapshot%20epoch%22%20OR%20all%3A%22physical%20view%20portfolio%22%20OR%20all%3A%22compiled%20view%20portfolio%22%20OR%20all%3A%22algorithm-native%20artifact%22%20OR%20all%3A%22compiled%20physical%20view%22%29%20AND%20%28cat%3Acs.DS%20OR%20cat%3Acs.DB%20OR%20cat%3Acs.PF%29%20AND%20NOT%20all%3A%22generic%20graph%20database%22%20AND%20NOT%20all%3A%22survey%20only%22%20AND%20NOT%20all%3A%22programming-language%20comparison%22%20AND%20submittedDate%3A%5B202101010000%20TO%20202608112359%5D&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:38:09Z	0	200	0	db8a445f9af6043790d0f2902918b746639b06f2d1a07fccd9342a437e22e0f7	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-001-2021_CURRENT.overconstrained.xml	FAILED
REQ-G02-0006	G02	QRY-002	QRY-002-ALL	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""view promotion lifecycle"" OR all:""ephemeral-to-persisted view"" OR all:""shared substrate custom state"" OR all:""shared topology specialized state"" OR all:""query-shape optimization unit"" OR all:""workload signature"" OR all:""preparation amortization"" OR all:""build-versus-query tradeoff"") AND (cat:cs.DB OR cat:cs.DS) AND NOT all:""universal graph format"" AND NOT all:""free preprocessing"" AND NOT all:""opinion only"""	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22view%20promotion%20lifecycle%22%20OR%20all%3A%22ephemeral-to-persisted%20view%22%20OR%20all%3A%22shared%20substrate%20custom%20state%22%20OR%20all%3A%22shared%20topology%20specialized%20state%22%20OR%20all%3A%22query-shape%20optimization%20unit%22%20OR%20all%3A%22workload%20signature%22%20OR%20all%3A%22preparation%20amortization%22%20OR%20all%3A%22build-versus-query%20tradeoff%22%29%20AND%20%28cat%3Acs.DB%20OR%20cat%3Acs.DS%29%20AND%20NOT%20all%3A%22universal%20graph%20format%22%20AND%20NOT%20all%3A%22free%20preprocessing%22%20AND%20NOT%20all%3A%22opinion%20only%22&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:38:13Z	0	200	0	c550f4b4597fa93bb316b5f7e2a3556728528db6c51d4edb0a6035f2e9f6d6ba	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-002-ALL.overconstrained.xml	FAILED
REQ-G02-0007	G02	QRY-002	QRY-002-PRE2001	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""view promotion lifecycle"" OR all:""ephemeral-to-persisted view"" OR all:""shared substrate custom state"" OR all:""shared topology specialized state"" OR all:""query-shape optimization unit"" OR all:""workload signature"" OR all:""preparation amortization"" OR all:""build-versus-query tradeoff"") AND (cat:cs.DB OR cat:cs.DS) AND NOT all:""universal graph format"" AND NOT all:""free preprocessing"" AND NOT all:""opinion only"" AND submittedDate:[197001010000 TO 200012312359]"	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22view%20promotion%20lifecycle%22%20OR%20all%3A%22ephemeral-to-persisted%20view%22%20OR%20all%3A%22shared%20substrate%20custom%20state%22%20OR%20all%3A%22shared%20topology%20specialized%20state%22%20OR%20all%3A%22query-shape%20optimization%20unit%22%20OR%20all%3A%22workload%20signature%22%20OR%20all%3A%22preparation%20amortization%22%20OR%20all%3A%22build-versus-query%20tradeoff%22%29%20AND%20%28cat%3Acs.DB%20OR%20cat%3Acs.DS%29%20AND%20NOT%20all%3A%22universal%20graph%20format%22%20AND%20NOT%20all%3A%22free%20preprocessing%22%20AND%20NOT%20all%3A%22opinion%20only%22%20AND%20submittedDate%3A%5B197001010000%20TO%20200012312359%5D&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:38:17Z	0	200	0	c55e99482bb7bb86c639008d59667dc2c0605b4c9ae12719eea4f3f2bc7f602f	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-002-PRE2001.overconstrained.xml	FAILED
REQ-G02-0008	G02	QRY-002	QRY-002-2001_2010	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""view promotion lifecycle"" OR all:""ephemeral-to-persisted view"" OR all:""shared substrate custom state"" OR all:""shared topology specialized state"" OR all:""query-shape optimization unit"" OR all:""workload signature"" OR all:""preparation amortization"" OR all:""build-versus-query tradeoff"") AND (cat:cs.DB OR cat:cs.DS) AND NOT all:""universal graph format"" AND NOT all:""free preprocessing"" AND NOT all:""opinion only"" AND submittedDate:[200101010000 TO 201012312359]"	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22view%20promotion%20lifecycle%22%20OR%20all%3A%22ephemeral-to-persisted%20view%22%20OR%20all%3A%22shared%20substrate%20custom%20state%22%20OR%20all%3A%22shared%20topology%20specialized%20state%22%20OR%20all%3A%22query-shape%20optimization%20unit%22%20OR%20all%3A%22workload%20signature%22%20OR%20all%3A%22preparation%20amortization%22%20OR%20all%3A%22build-versus-query%20tradeoff%22%29%20AND%20%28cat%3Acs.DB%20OR%20cat%3Acs.DS%29%20AND%20NOT%20all%3A%22universal%20graph%20format%22%20AND%20NOT%20all%3A%22free%20preprocessing%22%20AND%20NOT%20all%3A%22opinion%20only%22%20AND%20submittedDate%3A%5B200101010000%20TO%20201012312359%5D&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:38:21Z	0	200	0	7ba29bd8919f357dfd7a372d4351864051c20bf39804d034769c5515a8f0ae58	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-002-2001_2010.overconstrained.xml	FAILED
REQ-G02-0009	G02	QRY-002	QRY-002-2011_2020	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""view promotion lifecycle"" OR all:""ephemeral-to-persisted view"" OR all:""shared substrate custom state"" OR all:""shared topology specialized state"" OR all:""query-shape optimization unit"" OR all:""workload signature"" OR all:""preparation amortization"" OR all:""build-versus-query tradeoff"") AND (cat:cs.DB OR cat:cs.DS) AND NOT all:""universal graph format"" AND NOT all:""free preprocessing"" AND NOT all:""opinion only"" AND submittedDate:[201101010000 TO 202012312359]"	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22view%20promotion%20lifecycle%22%20OR%20all%3A%22ephemeral-to-persisted%20view%22%20OR%20all%3A%22shared%20substrate%20custom%20state%22%20OR%20all%3A%22shared%20topology%20specialized%20state%22%20OR%20all%3A%22query-shape%20optimization%20unit%22%20OR%20all%3A%22workload%20signature%22%20OR%20all%3A%22preparation%20amortization%22%20OR%20all%3A%22build-versus-query%20tradeoff%22%29%20AND%20%28cat%3Acs.DB%20OR%20cat%3Acs.DS%29%20AND%20NOT%20all%3A%22universal%20graph%20format%22%20AND%20NOT%20all%3A%22free%20preprocessing%22%20AND%20NOT%20all%3A%22opinion%20only%22%20AND%20submittedDate%3A%5B201101010000%20TO%20202012312359%5D&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:38:25Z	0	200	0	59e9bd29f356b453ebfbfe444c4bc220bb3ec670334fc5cc3aa3d1a64e4eac8d	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-002-2011_2020.overconstrained.xml	FAILED
REQ-G02-0010	G02	QRY-002	QRY-002-2021_CURRENT	arXiv	legacy_api_query_metadata_invalidated_overconstrained	"(all:""PageRank power iteration"" OR all:""rank propagation"") AND (all:""view promotion lifecycle"" OR all:""ephemeral-to-persisted view"" OR all:""shared substrate custom state"" OR all:""shared topology specialized state"" OR all:""query-shape optimization unit"" OR all:""workload signature"" OR all:""preparation amortization"" OR all:""build-versus-query tradeoff"") AND (cat:cs.DB OR cat:cs.DS) AND NOT all:""universal graph format"" AND NOT all:""free preprocessing"" AND NOT all:""opinion only"" AND submittedDate:[202101010000 TO 202608112359]"	max_results=15&search_query=%28all%3A%22PageRank%20power%20iteration%22%20OR%20all%3A%22rank%20propagation%22%29%20AND%20%28all%3A%22view%20promotion%20lifecycle%22%20OR%20all%3A%22ephemeral-to-persisted%20view%22%20OR%20all%3A%22shared%20substrate%20custom%20state%22%20OR%20all%3A%22shared%20topology%20specialized%20state%22%20OR%20all%3A%22query-shape%20optimization%20unit%22%20OR%20all%3A%22workload%20signature%22%20OR%20all%3A%22preparation%20amortization%22%20OR%20all%3A%22build-versus-query%20tradeoff%22%29%20AND%20%28cat%3Acs.DB%20OR%20cat%3Acs.DS%29%20AND%20NOT%20all%3A%22universal%20graph%20format%22%20AND%20NOT%20all%3A%22free%20preprocessing%22%20AND%20NOT%20all%3A%22opinion%20only%22%20AND%20submittedDate%3A%5B202101010000%20TO%20202608112359%5D&sortBy=relevance&sortOrder=descending&start=0	2026-08-11T06:38:29Z	0	200	0	dcfd9fee48099988a683e11c0e4c466354214d8c64dc7c40b25bca0d778b92cb	KnightBusArxivPatternFoundry/0.1	MISS	1	NONE	NONE	https://info.arxiv.org/help/api/tou.html	2026-08-11	arxiv-reference/cache/g02/arxiv/QRY-002-2021_CURRENT.overconstrained.xml	FAILED
