inventory_row_id	procedure_name	surface_kind	family	mode	is_estimate	source_file	source_line	config_type	result_type	estimate_path	support_status	unsupported_error_code	unsupported_message_shape	result_schema_behavior	first_canary_or_test	evidence_confidence	notes
1	gds.alpha.graph.graphProperty.drop	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropGraphPropertiesProc.java	42	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-001	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
2	gds.alpha.graph.nodeLabel.mutate	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphMutateNodeLabelProc.java	50	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-002	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
3	gds.alpha.graph.nodeLabel.write	procedure	catalog	WRITE	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodeLabelProc.java	50	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-003	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
4	gds.alpha.graph.sample.rwr	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java	56	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-004	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
5	gds.beta.graph.export.csv	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	54	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-005	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
6	gds.beta.graph.export.csv.estimate	procedure	catalog	READ	yes	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	77	NeedsSource	NeedsSource	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java:77	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-006	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
7	gds.beta.graph.generate	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/beta/generator/GraphGenerateProc.java	43	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-007	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
8	gds.beta.graph.project.subgraph	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	111	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-008	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
9	gds.beta.graph.relationships.stream	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipsProc.java	51	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-009	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
10	gds.beta.model.drop	procedure	catalog	READ	no	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelDropProc.java	49	NeedsSource	NeedsSource	NotApplicable	P0-RegisteredCompatible	NotApplicable	NotApplicable	Preserve Neo4j GDS result schema when implemented; see source row for procedure entrypoint.	TEST-GDS-010	DirectSource	Metadata or catalog-facing surface; implement registry behavior before algorithm kernels.
