procedure_name	procedure_mode	annotation_source	facade	config_type	result_type	algorithm_family	estimate_method	memory_estimation_status	output_artifact	support_tier	unsupported_reason	confidence	falsifier
gds.allShortestPaths.delta.mutate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/delta/AllShortestPathsDeltaMutateProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<PathFindingMutateResult>	path_finding	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.delta.mutate.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/delta/AllShortestPathsDeltaMutateProc.java:50	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	path_finding	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.delta.stats	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/delta/AllShortestPathsDeltaStatsProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<StandardStatsResult>	path_finding	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Stats result stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.delta.stats.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/delta/AllShortestPathsDeltaStatsProc.java:50	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	path_finding	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.delta.stream	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/delta/AllShortestPathsDeltaStreamProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<PathFindingStreamResult>	path_finding	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.delta.stream.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/delta/AllShortestPathsDeltaStreamProc.java:50	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	path_finding	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.delta.write	WRITE	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/delta/AllShortestPathsDeltaWriteProc.java:42	facade.algorithms	Map<String,Object> configuration	Stream<StandardWriteRelationshipsResult>	path_finding	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.delta.write.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/delta/AllShortestPathsDeltaWriteProc.java:51	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	path_finding	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.dijkstra.mutate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/dijkstra/AllShortestPathsDijkstraMutateProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<PathFindingMutateResult>	path_finding	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	In-memory catalog graph mutation	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.dijkstra.mutate.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/dijkstra/AllShortestPathsDijkstraMutateProc.java:50	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	path_finding	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.dijkstra.stream	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/dijkstra/AllShortestPathsDijkstraStreamProc.java:41	facade.algorithms	Map<String,Object> configuration	Stream<PathFindingStreamResult>	path_finding	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.dijkstra.stream.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/dijkstra/AllShortestPathsDijkstraStreamProc.java:50	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	path_finding	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.dijkstra.write	WRITE	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/dijkstra/AllShortestPathsDijkstraWriteProc.java:42	facade.algorithms	Map<String,Object> configuration	Stream<StandardWriteRelationshipsResult>	path_finding	Pair with estimate endpoint or unsupported status	Requires paired estimate or reject path	Neo4j write-back or export side effect	Direct public surface	Support requires paired estimator or deterministic unsupported response before claiming compatibility	DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.dijkstra.write.estimate	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/singlesource/dijkstra/AllShortestPathsDijkstraWriteProc.java:51	facade.algorithms	graphNameOrConfiguration plus algoConfiguration	Stream<MemoryEstimateResult>	path_finding	Explicit public estimate endpoint	Estimate procedure	MemoryEstimateResult stream	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
gds.allShortestPaths.stream	READ	proc/path-finding/src/main/java/org/neo4j/gds/paths/all/AllShortestPathsStreamProc.java:40	facade.algorithms	Map<String,Object> configuration	Stream<AllShortestPathsStreamResult>	path_finding	Not applicable unless procedure allocates bounded work	No estimator implied by annotation	Row stream only	Direct public surface		DirectSource	Re-run rg -n '@Procedure|@GdsCallable' against src/main/java and compare names, modes, and source lines.
