entry_kind	name	family	mode	estimate_variant	config_inputs	result_columns	source_file	source_line	support_status	architecture_needs	memory_needs	test_oracle	prd_impact	deprecated_by
procedure	gds.alpha.graph.graphProperty.drop	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropGraphPropertiesProc.java	42	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.graphProperty.drop
procedure	gds.alpha.graph.nodeLabel.mutate	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphMutateNodeLabelProc.java	50	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.nodeLabel.mutate
procedure	gds.alpha.graph.nodeLabel.write	catalog	WRITE	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodeLabelProc.java	50	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.nodeLabel.write
procedure	gds.alpha.graph.sample.rwr	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java	56	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.sample.rwr
procedure	gds.beta.graph.export.csv	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	54	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.export.csv
procedure	gds.beta.graph.export.csv.estimate	catalog	READ	yes	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	77	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.export.csv.estimate
procedure	gds.beta.graph.generate	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/beta/generator/GraphGenerateProc.java	43	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.generate
procedure	gds.beta.graph.project.subgraph	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	111	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.filter
procedure	gds.beta.graph.relationships.stream	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipsProc.java	51	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.relationships.stream
procedure	gds.beta.model.drop	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelDropProc.java	49	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.model.drop
procedure	gds.beta.model.exists	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelExistsProc.java	46	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.model.exists
procedure	gds.beta.model.list	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/model/catalog/ModelListProc.java	47	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.model.list
procedure	gds.graph.deleteRelationships	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropRelationshipProc.java	50	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.relationships.drop
procedure	gds.graph.drop	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropProc.java	45	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
user_function	gds.graph.exists	catalog	MissingEvidence	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphExistsFunc.java	38	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.exists	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphExistsProc.java	42	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.export	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	44	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.export.csv	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	67	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.export.csv.estimate	catalog	READ	yes	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStoreExportProc.java	90	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.filter	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphFilterProc.java	41	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.generate	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/beta/generator/GraphGenerateProc.java	59	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.graphProperty.drop	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropGraphPropertiesProc.java	56	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.graphProperty.stream	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamGraphPropertiesProc.java	61	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.list	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphListProc.java	47	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.nodeLabel.mutate	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphMutateNodeLabelProc.java	39	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.nodeLabel.write	catalog	WRITE	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodeLabelProc.java	40	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.nodeProperties.drop	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropNodePropertiesProc.java	42	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.nodeProperties.stream	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java	43	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.nodeProperties.write	catalog	WRITE	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteNodePropertiesProc.java	41	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.nodeProperty.stream	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java	86	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.project	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	52	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.project.cypher	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	78	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.project Cypher projection as an aggregation function
procedure	gds.graph.project.cypher.estimate	catalog	READ	yes	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	94	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.project Cypher projection as an aggregation function
procedure	gds.graph.project.estimate	catalog	READ	yes	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphProjectProc.java	68	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.relationship.write	catalog	WRITE	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteRelationshipProc.java	42	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.relationshipProperties.stream	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipPropertiesProc.java	44	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.relationshipProperties.write	catalog	WRITE	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphWriteRelationshipPropertiesProc.java	41	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.relationshipProperty.stream	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipPropertiesProc.java	83	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.relationships.drop	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropRelationshipProc.java	40	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.relationships.stream	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipsProc.java	41	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.removeNodeProperties	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphDropNodePropertiesProc.java	53	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.nodeProperties.drop
procedure	gds.graph.sample.cnarw	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java	71	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.sample.cnarw.estimate	catalog	READ	yes	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java	82	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.sample.rwr	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphSampleProc.java	44	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	none
procedure	gds.graph.streamNodeProperties	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java	60	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.nodeProperties.stream
procedure	gds.graph.streamNodeProperty	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamNodePropertiesProc.java	102	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.nodeProperty.stream
procedure	gds.graph.streamRelationshipProperties	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipPropertiesProc.java	59	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.relationshipProperties.stream
procedure	gds.graph.streamRelationshipProperty	catalog	READ	no	MissingEvidence	MissingEvidence	gitrefrepo/neo4j-gds-src/proc/catalog/src/main/java/org/neo4j/gds/catalog/GraphStreamRelationshipPropertiesProc.java	100	NeedsArchitectureSpike	snapshot catalog plus sidecars	MissingEvidence	MissingEvidence	Complete GDS surface; Atomic publication	gds.graph.relationshipProperty.stream
