repo	policy	combined_status	cbm_run	cbm_status	cbm_nodes	cbm_symbol	cbm_path	cgc_run	cgc_status	cgc_files	cgc_functions	cgc_symbol	cgc_path	repo_path	note
apache-datafusion-src	code	CbmSemanticReadyCgcLowYield	apache-datafusion-src-20260624-123607	QueryReady	50350	parse_coerce_int96_string	datafusion/datasource-parquet/src/source.rs	apache-datafusion-src-20260624-124554	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-datafusion-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
apache-arrow-rs-src	code	CbmSemanticReadyCgcLowYield	apache-arrow-rs-src-20260624-123607	QueryReady	25064	test_empty_variant_will_fail	parquet-variant/src/variant.rs	apache-arrow-rs-src-20260624-124554	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/apache-arrow-rs-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
clickhouse-src	code	NeedsRerun	clickhouse-src-20260624-150515	MissingIndexJson				clickhouse-src-20260624-150516	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/clickhouse-src	cbm: long-leash rerun on 2026-06-24 still left zero-byte index_repository.json and index_repository.stderr after 150s; cgc: partial index.txt plus sqlite/wal only, but stats.txt and functions_find.txt still missing after 150s
cypher-shell-src	code	DualSemanticReady	cypher-shell-src-20260624-120654	QueryReady	2337	parse	cypher-shell/src/main/java/org/neo4j/shell/cli/Encryption.java	cypher-shell-src-20260624-115614	QueryReady	134	1178			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/cypher-shell-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
differential-dataflow-src	code	CbmSemanticReadyCgcLowYield	differential-dataflow-src-20260624-124115	QueryReady	3514	read_file	doop/src/main.rs	differential-dataflow-src-20260624-124854	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/differential-dataflow-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
duckdb-src	code	CbmSemanticReadyCgcLowYield	duckdb-src-20260624-124119	QueryReady	120933	CountLiterals	third_party/brotli/enc/block_splitter.cpp	duckdb-src-20260624-124854	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/duckdb-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
gapbs-src	code	DualSemanticReady	gapbs-src-20260624-125024	QueryReady	481	.PHONY	Makefile	gapbs-src-20260624-125024	QueryReady	18	170			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/gapbs-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
graphblas-pointers-src	code	DualSemanticReady	graphblas-pointers-src-20260624-125038	FileReady	39	README.md	README.md	graphblas-pointers-src-20260624-125038	QueryReady	2	0			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/graphblas-pointers-src	cbm: search_graph fallback succeeded; cgc: stats non-zero and function probe returned rows
falkordb-src	code	CbmSemanticReadyCgcLowYield	falkordb-src-20260624-125024	QueryReady	110732	roaring_trailing_zeroes	src/util/roaring.h	falkordb-src-20260624-125035	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/falkordb-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
graphblas-src	code	CbmSemanticReadyCgcLowYield	graphblas-src-20260624-125040	QueryReady	80273	GB_accum_mask	Source/mask/GB_accum_mask.c	graphblas-src-20260624-125049	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/graphblas-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
graphblas_sparse_linear_algebra-src	code	CbmSemanticReadyCgcLowYield	graphblas_sparse_linear_algebra-src-20260624-125205	QueryReady	1836	graphblas_implementation_type_for_isize	graphblas_sparse_linear_algebra_proc_macros/src/lib.rs	graphblas_sparse_linear_algebra-src-20260624-125205	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/graphblas_sparse_linear_algebra-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
gridgraph-src	code	DualSemanticReady	gridgraph-src-20260624-125335	QueryReady	179	all	Makefile	gridgraph-src-20260624-125335	QueryReady	21	56			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/gridgraph-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
graphchi-cpp-src	code	CbmSemanticReadyCgcLowYield	graphchi-cpp-src-20260624-125219	QueryReady	6589	jQuerySub	conf/adminhtml/bootstrap/js/jquery.js	graphchi-cpp-src-20260624-125221	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/graphchi-cpp-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
igraph-src	code	CbmSemanticReadyCgcLowYield	igraph-src-20260624-125351	QueryReady	9944	igraph_rng_set_default	src/random/random.c	igraph-src-20260624-125352	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/igraph-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
helix-db-src	code	CbmSemanticReadyCgcLowYield	helix-db-src-20260624-125346	QueryReady	3983	dynamic_query_value_from_property_value	sdks/rust/src/dsl.rs	helix-db-src-20260624-125424	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/helix-db-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
jemalloc-src	code	CbmSemanticReadyCgcLowYield	jemalloc-src-20260624-125522	QueryReady	7166	ctl_named_node	src/ctl.c	jemalloc-src-20260624-125523	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/jemalloc-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
kuzu-src	code	CbmSemanticReadyCgcLowYield	kuzu-src-20260624-125554	QueryReady	50233	transformDropType	src/parser/transform/transform_ddl.cpp	kuzu-src-20260624-125612	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/kuzu-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
lagraph-src	code	CbmSemanticReadyCgcLowYield	lagraph-src-20260624-125653	QueryReady	3009	difference	experimental/test/test_edgeBetweennessCentrality.c	lagraph-src-20260624-125654	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/lagraph-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
ldbc_graphalytics_platforms_graphblas-src	code	DualSemanticReady	ldbc_graphalytics_platforms_graphblas-src-20260624-125824	QueryReady	457	GetCurrentMilliseconds	src/main/c/src/utils.cpp	ldbc_graphalytics_platforms_graphblas-src-20260624-125825	QueryReady	47	81			/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ldbc_graphalytics_platforms_graphblas-src	cbm: direct follow-up query succeeded; cgc: stats non-zero and function probe returned rows
ldbc_graphalytics-src	code	CbmSemanticReadyCgcLowYield	ldbc_graphalytics-src-20260624-125742	QueryReady	2433	b	graphalytics-core/src/main/resources/graphalytics/report/html/lib/external/bootstrap.min.js	ldbc_graphalytics-src-20260624-125742	NoStats					/Users/amuldotexe/Desktop/personal-repos-lane/knight-bus-graph-walker/gitrefrepo/ldbc_graphalytics-src	cbm: direct follow-up query succeeded; cgc: stats.txt missing
