repo	file	extension	lines
opencypher-src	.github/workflows/pr_and_push_verification.yml	.yml	36
opencypher-src	.gitignore		16
opencypher-src	ASL-2-header.txt	.txt	25
opencypher-src	CIP-PROCESS.adoc	.adoc	55
opencypher-src	CONTRIBUTING.adoc	.adoc	28
opencypher-src	LICENSE		202
opencypher-src	NOTICE		27
opencypher-src	README.adoc	.adoc	70
opencypher-src	build-all.sh	.sh	7
opencypher-src	cip/0.baseline/openCypher9.pdf	.pdf	4403
opencypher-src	cip/1.adopted/CIP2015-05-13-EXISTS.adoc	.adoc	269
opencypher-src	cip/1.adopted/CIP2015-06-24-call-procedures.adoc	.adoc	338
opencypher-src	cip/1.adopted/CIP2015-09-16-public-type-system-overview.png	.png	2624
opencypher-src	cip/1.adopted/CIP2015-09-16-public-type-system-type-annotation.adoc	.adoc	406
opencypher-src	cip/1.adopted/CIP2015-10-27-State-visibility-between-clauses.adoc	.adoc	101
opencypher-src	cip/1.adopted/CIP2015-11-09-type-coercions.adoc	.adoc	81
opencypher-src	cip/1.adopted/CIP2016-06-14-Define-comparability-and-equality-as-well-as-orderability-and-equivalence.adoc	.adoc	545
opencypher-src	cip/1.adopted/CIP2016-12-19-Reserved-keywords.adoc	.adoc	191
opencypher-src	cip/1.adopted/CIP2017-10-17-Cypher-9.adoc	.adoc	126
opencypher-src	cip/1.adopted/CIP2018-10-29-EXISTS-and-IS-NOT-NULL.adoc	.adoc	142
opencypher-src	cip/1.adopted/CIP2021-07-07-Grouping-keys-and-aggregation-expressions.adoc	.adoc	923
opencypher-src	cip/1.adopted/CIP2021-08-10-Operator-precedence.adoc	.adoc	740
opencypher-src	cip/2.testable/CIP2015-02-17-dynamic-property-lookup.adoc	.adoc	126
opencypher-src	cip/2.testable/CIP2015-08-06-date-time.adoc	.adoc	1282
opencypher-src	cip/2.testable/CIP2015-09-15-STARTS-WITH-and-ENDS-WITH.adoc	.adoc	150
opencypher-src	cip/2.testable/CIP2016-07-07-Parameter-syntax.adoc	.adoc	100
opencypher-src	cip/2.testable/CIP2016-07-07-Type-conversion-functions.adoc	.adoc	87
opencypher-src	cip/README.adoc	.adoc	26
opencypher-src	cip/pom.xml	.xml	48
opencypher-src	grammar/README.adoc	.adoc	96
opencypher-src	grammar/openCypher.bnf	.bnf	1534
opencypher-src	grammar/pom.xml	.xml	43
opencypher-src	oCCA.adoc	.adoc	56
opencypher-src	pom.xml	.xml	272
opencypher-src	tck/README.adoc	.adoc	259
opencypher-src	tck/features/clauses/call/Call1.feature	.feature	236
opencypher-src	tck/features/clauses/call/Call2.feature	.feature	125
opencypher-src	tck/features/clauses/call/Call3.feature	.feature	122
opencypher-src	tck/features/clauses/call/Call4.feature	.feature	60
opencypher-src	tck/features/clauses/call/Call5.feature	.feature	172
opencypher-src	tck/features/clauses/call/Call6.feature	.feature	82
opencypher-src	tck/features/clauses/create/Create1.feature	.feature	248
opencypher-src	tck/features/clauses/create/Create2.feature	.feature	355
opencypher-src	tck/features/clauses/create/Create3.feature	.feature	257
opencypher-src	tck/features/clauses/create/Create4.feature	.feature	1374
opencypher-src	tck/features/clauses/create/Create5.feature	.feature	130
opencypher-src	tck/features/clauses/create/Create6.feature	.feature	273
opencypher-src	tck/features/clauses/delete/Delete1.feature	.feature	139
opencypher-src	tck/features/clauses/delete/Delete2.feature	.feature	107
opencypher-src	tck/features/clauses/delete/Delete3.feature	.feature	61
opencypher-src	tck/features/clauses/delete/Delete4.feature	.feature	86
opencypher-src	tck/features/clauses/delete/Delete5.feature	.feature	186
opencypher-src	tck/features/clauses/delete/Delete6.feature	.feature	372
opencypher-src	tck/features/clauses/match/Match1.feature	.feature	273
opencypher-src	tck/features/clauses/match/Match2.feature	.feature	300
opencypher-src	tck/features/clauses/match/Match3.feature	.feature	574
opencypher-src	tck/features/clauses/match/Match4.feature	.feature	281
opencypher-src	tck/features/clauses/match/Match5.feature	.feature	652
opencypher-src	tck/features/clauses/match/Match6.feature	.feature	528
opencypher-src	tck/features/clauses/match/Match7.feature	.feature	669
opencypher-src	tck/features/clauses/match/Match8.feature	.feature	104
opencypher-src	tck/features/clauses/match/Match9.feature	.feature	200
opencypher-src	tck/features/clauses/match-where/MatchWhere1.feature	.feature	291
opencypher-src	tck/features/clauses/match-where/MatchWhere2.feature	.feature	88
opencypher-src	tck/features/clauses/match-where/MatchWhere3.feature	.feature	94
opencypher-src	tck/features/clauses/match-where/MatchWhere4.feature	.feature	70
opencypher-src	tck/features/clauses/match-where/MatchWhere5.feature	.feature	116
opencypher-src	tck/features/clauses/match-where/MatchWhere6.feature	.feature	208
opencypher-src	tck/features/clauses/merge/Merge1.feature	.feature	306
opencypher-src	tck/features/clauses/merge/Merge2.feature	.feature	123
opencypher-src	tck/features/clauses/merge/Merge3.feature	.feature	114
opencypher-src	tck/features/clauses/merge/Merge4.feature	.feature	73
opencypher-src	tck/features/clauses/merge/Merge5.feature	.feature	519
opencypher-src	tck/features/clauses/merge/Merge6.feature	.feature	167
opencypher-src	tck/features/clauses/merge/Merge7.feature	.feature	143
opencypher-src	tck/features/clauses/merge/Merge8.feature	.feature	54
opencypher-src	tck/features/clauses/merge/Merge9.feature	.feature	99
opencypher-src	tck/features/clauses/remove/Remove1.feature	.feature	151
