repo	status	duration_seconds	dot_file	stderr_file	dot_bytes	node_count	edge_count	cycle_count	stderr_excerpt
cypher-dsl-src	ok	1.08	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/cypher-dsl-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/cypher-dsl-src.stderr.txt	760953	669	3173	33	
cypher-shell-src	ok	0.27	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/cypher-shell-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/cypher-shell-src.stderr.txt	98494	127	512	1	
gds-agent-src	ok	0.09	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/gds-agent-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/gds-agent-src.stderr.txt	11112	43	48	1	
graph-data-science-src	ok	0.11	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/graph-data-science-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/graph-data-science-src.stderr.txt	605	5	0	0	
neo4j-apoc-procedures-src	ok	2.32	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-apoc-procedures-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-apoc-procedures-src.stderr.txt	487312	828	3205	20	
neo4j-apoc-src	ok	1.60	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-apoc-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-apoc-src.stderr.txt	244382	466	1564	5	
neo4j-browser-src	ok	0.26	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-browser-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-browser-src.stderr.txt	273205	695	1565	8	
neo4j-docs-bolt-src	ok	0.07	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-docs-bolt-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-docs-bolt-src.stderr.txt	245	1	0	0	
neo4j-dotnet-driver-src	ok	1.52	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-dotnet-driver-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-dotnet-driver-src.stderr.txt	625085	886	3341	18	
neo4j-gds-client-src	ok	0.44	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-gds-client-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-gds-client-src.stderr.txt	696394	818	3873	2	
neo4j-gds-src	ok	5.80	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-gds-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-gds-src.stderr.txt	6621861	4921	30609	74	
neo4j-go-driver-src	ok	0.14	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-go-driver-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-go-driver-src.stderr.txt	98514	213	1092	11	
neo4j-java-driver-src	ok	1.10	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-java-driver-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-java-driver-src.stderr.txt	885519	884	4378	24	
neo4j-javascript-driver-src	ok	0.20	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-javascript-driver-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-javascript-driver-src.stderr.txt	263575	603	1561	4	
neo4j-ogm-src	ok	1.20	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-ogm-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-ogm-src.stderr.txt	1024372	1127	4261	64	
neo4j-python-driver-src	ok	0.17	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-python-driver-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-python-driver-src.stderr.txt	194403	443	1621	5	
neo4j-src	ok	30.83	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-src.stderr.txt	19642724	10738	85273	215	
neo4j-testkit-src	ok	0.24	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4j-testkit-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4j-testkit-src.stderr.txt	83085	266	638	3	
neo4rs-src	ok	0.11	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/neo4rs-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/neo4rs-src.stderr.txt	83532	239	586	3	
opencypher-src	exit_1	0.06	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/dot/opencypher-src.dot	docs_PRD03/reference-learning/neo4j-family-dependency-graphs/stderr/opencypher-src.stderr.txt	0	0	0	0	Error: no supported files found in working directory Usage:   clarity show [paths...] [flags]  Flags:       --all                  Render the whole tree at this snapshot       --allow-outside-repo   Allow input paths outside the repo root       --also strings         Include files matching glob patterns that connect to the --reach graph (requires --reach)   -w, --between strings      Find all paths between specified files (comma-separated)       --collapse             Collapse files into the mod
