lane	path	sha256	bytes	extension	file_class	coverage_status	relevance	architecture_option_ids	evidence_id
06-prd05-prd06	docs_PRD05/Neo4j-Rust-Prior-Art-Feasibility-Risk-Assessment.md	75d9f784fe20cd46396f323c3f720138fc52d258adb5594534ceb210711b59eb	92487	md	prior_art_risk_assessment	semantic_read	94	ARCH-BOUNDARY;ARCH-VIEW-FOUNDRY;ARCH-SPILL;ARCH-ORACLE	A06-000001
06-prd05-prd06	docs_PRD05/Neo4j-Rust-Rewrite-Feasibility.md	8c3752033aff7cca397672086bbe38f3f10d296741585ea34cf66b3d14588688	44091	md	rewrite_feasibility_analysis	semantic_read	95	ARCH-BOUNDARY;ARCH-ADAPTER;ARCH-ORACLE	A06-000002
06-prd05-prd06	docs_PRD05/Neo4j-Rust-Two-Scenario-Estimation.md	4238dd495f01b6bdc71d9707ac3caadd3e12b9198ad070a8cdea2175e46a56f7	63908	md	architecture_estimation	semantic_read	98	ARCH-BOUNDARY;ARCH-VIEW-FOUNDRY;ARCH-SPILL;ARCH-RECEIPT	A06-000003
06-prd05-prd06	docs_PRD05/README.md	611e319d3051dd84df449ba131e1cad285fdaf0967d104346870cf38c977faca	2037	md	prd05_index	semantic_read	72	ARCH-BOUNDARY	A06-000004
06-prd05-prd06	docs_PRD06/README.md	08a4aa4bde98c83a5d028aaaab9d41ee2b8e0023c7404eb5783a14b7804acec0	1521	md	prd06_index	semantic_read	72	ARCH-BOUNDARY	A06-000005
06-prd05-prd06	docs_PRD06/Rewrite-Sampling-And-Convergence-Thesis.md	03b1fa78d3998af4738a12dae8219e096504940572b4d2faf9b273813e327b48	9935	md	verification_thesis	semantic_read	88	ARCH-ORACLE;ARCH-ADAPTER	A06-000006
06-prd05-prd06	docs_PRD06/graph-learning/README.md	19153725ae0b5858c3cc8972cfee53dd7b6bf23755d2892603143e0500096ed4	2535	md	graph_learning_index	semantic_read	72	ARCH-BOUNDARY	A06-000007
06-prd05-prd06	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	d5af00a2947e2162a78106cfbff68eac0cc2998b4e6b56e43781bfb32ca1d928	10412	md	corpus_research_spec	semantic_read	78	ARCH-ORACLE	A06-000008
06-prd05-prd06	docs_PRD06/graph-learning/algorithm-application-domains-map-v2.md	f2ff7740b0e511b89fde8ded2bb3b682a958801d710c64fc078fff2a6acced7e	13840	md	application_domain_map	semantic_read	91	ARCH-PMF;ARCH-PATH;ARCH-WCC;ARCH-PAGERANK;ARCH-SIMILARITY	A06-000009
06-prd05-prd06	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	9a33bb357d0a678c2a0c3e8875dd39ee409d55756e5220df59c451d05d750304	18546	md	application_domain_map	semantic_read	91	ARCH-PMF;ARCH-PATH;ARCH-WCC;ARCH-PAGERANK;ARCH-SIMILARITY	A06-000010
06-prd05-prd06	docs_PRD06/graph-learning/algorithm-application-domains-map.md	1893a2a27686a8946b086d9443e2429a278d3285d9a5f73ef8acf48d2c112bfa	14124	md	application_domain_map	semantic_read	91	ARCH-PMF;ARCH-PATH;ARCH-WCC;ARCH-PAGERANK;ARCH-SIMILARITY	A06-000011
06-prd05-prd06	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	0c2bb01231f5f58f25df61d4aed19588b97df5b16c2e275c06a17fc3fb4de234	8150	md	category_synthesis	semantic_read	99	ARCH-ORACLE;ARCH-RECEIPT	A06-000012
06-prd05-prd06	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-mermaid.md	782e7794fec93a62cc7de2940229571501600006857681cfae2ff4e58680dfbb	8816	md	category_synthesis	semantic_read	99	ARCH-ORACLE;ARCH-RECEIPT	A06-000013
06-prd05-prd06	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	0f40846b83ad80a6acdae28948d3425de4005dbf3ae4ddc34df3d0094b4430e9	6908	md	storage_pattern	semantic_read	86	ARCH-COMPRESSED-SETS;ARCH-VIEW-FOUNDRY	A06-000014
06-prd05-prd06	docs_PRD06/graph-learning/bloom-filter-shortcut-mermaid.md	8c1ecdcdaf77469b5ac1ad705fdc3cb5ff93939df68d4e3788f5856dd69145f2	6126	md	storage_pattern	semantic_read	86	ARCH-COMPRESSED-SETS;ARCH-VIEW-FOUNDRY	A06-000015
06-prd05-prd06	docs_PRD06/graph-learning/bm25-wand-pruning-ascii.md	1a3fcf3ef1fb76f5c3fdc1a6f071b2948ce2aa93584ccedb4751da6f25bafc78	7045	md	algorithm_pattern	semantic_read	68	ARCH-COMPRESSED-SETS;ARCH-VIEW-FOUNDRY;ARCH-DEFER	A06-000016
