lane	repo	path	git_blob	bytes	extension	default_file_class	assigned_agent
01-core-compatibility	cypher-dsl-src	.git-blame-ignore-revs	dfb688f47582e1caf1afa12ce646a798f19cddbe	41		noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	.github/CODEOWNERS	55ae9cf7acd26109406e03122606230eda396b44	40		noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	.github/ISSUE_TEMPLATE/config.yml	0086358db1eb971c0cfa8739c27518bbc18a5ff4	27	yml	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	.github/dependabot.yml	59bff77ce5bb59f751c19f0daadfe3d333bf55a8	146	yml	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	.github/workflows/build.yml	874f7455561ccc81a661044567d527324c59cc03	4800	yml	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	.github/workflows/publish_docs.yml	847610955b7b45dbf9b98541f3b26f7d0b496340	2111	yml	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	.github/workflows/release.yml	ce52c7c2108e24402668b2f4699f798e2044ab11	1317	yml	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	.gitignore	e32d6192076b90d705907c29ef485dac629fa09b	382		noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	.mvn/extensions.xml	3351be461926c209bdeca268c123dafe97a04e74	892	xml	source_candidate	agent-01
01-core-compatibility	cypher-dsl-src	.mvn/jvm.config	e378c038588b57b4d5f5306e952b974bcf049047	103	config	unknown_classified	agent-01
01-core-compatibility	cypher-dsl-src	.mvn/wrapper/maven-wrapper.jar	eebc3c18b4e0bce4a2a9e66be24c4a410f17a1fa	63093	jar	binary_classified	agent-01
01-core-compatibility	cypher-dsl-src	.mvn/wrapper/maven-wrapper.properties	970a3d02ddc6c6ce42cc773b68b7a6a2427f9c20	277	properties	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	CODE_OF_CONDUCT.md	f53a02d8bed226aed4854bb276cf3f200b9882dc	5218	md	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	CONTRIBUTING.adoc	7d982ccfd8be163258e04f37b24663a6804959ca	9617	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	LICENSE.txt	d645695673349e3947e8e5ae42332d0ac3164cd7	11358	txt	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	README.adoc	4eefe57fbe7c449e496acd2cc0deba8a145455df	4198	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	bin/extract-version.sh	cd557d0c0b2764dcb059033d30688527fe7f70cc	270	sh	source_candidate	agent-01
01-core-compatibility	cypher-dsl-src	bin/prepare-release.sh	3ae79947238c0f649fb20b9545826644588b8663	373	sh	source_candidate	agent-01
01-core-compatibility	cypher-dsl-src	bin/remove-shaded-modules.sh	4a4b15f08f2b1059adce9bd83e28cb183c34afc6	304	sh	source_candidate	agent-01
01-core-compatibility	cypher-dsl-src	bin/runtests.java	145e832fc07bf4d8bece8206eeca05f150fc1970	431	java	source_candidate	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2020.0.adoc	df7458cd414dfd863015db58a608a500fff049fd	1104	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2020.1.adoc	df6fc71546279d6c8355552b1b4c8398979a9b1a	2757	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2021.0.adoc	e42bba36ebb6c94b0cc9d0359f81fcceb7290474	6037	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2021.1.adoc	2680ca90fcbf4b8618afccd1d627d9b9db05cbe3	4604	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2021.2.adoc	7f8040fdc3b781397f362659b18f691adc34689e	5853	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2021.3.adoc	f37985d41dd58197b09e449826fa6d8cb77b47ec	3059	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2021.4.adoc	8eff8f22546ed518711044d068f4cd6dca1f8162	1160	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2022.0.adoc	ed2a32f275e25f94eae9895ba3db1ad21ed6f4a0	1356	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2022.1.adoc	ecb53e749cacdbace53e3ab3bd421f9f2bdb94b7	1828	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2022.10.adoc	46f733823edcb8dbd2e59f7a503367214273b059	427	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2022.11.adoc	75e3397674798e54a2329ff0ce4a7cfb917b7ae9	117	adoc	noncode_classified	agent-01
01-core-compatibility	cypher-dsl-src	docs/appendix/2022.2.adoc	78d13333ddd70fcea27eb5b9a3696b63e264fa8c	2618	adoc	noncode_classified	agent-01
