lane	path	sha256	bytes	line_count	assigned_agent	source_id
lane-08	docs_PRD06/graph-learning/README.md	19153725ae0b5858c3cc8972cfee53dd7b6bf23755d2892603143e0500096ed4	2535	43	agent-08	GLF-0001
lane-07	docs_PRD06/graph-learning/SPEC-graph-learning-corpus-research.md	d5af00a2947e2162a78106cfbff68eac0cc2998b4e6b56e43781bfb32ca1d928	10412	195	agent-07	GLF-0002
lane-08	docs_PRD06/graph-learning/algorithm-application-domains-map-v2.md	f2ff7740b0e511b89fde8ded2bb3b682a958801d710c64fc078fff2a6acced7e	13840	287	agent-08	GLF-0003
lane-07	docs_PRD06/graph-learning/algorithm-application-domains-map-v3.md	9a33bb357d0a678c2a0c3e8875dd39ee409d55756e5220df59c451d05d750304	18546	379	agent-07	GLF-0004
lane-09	docs_PRD06/graph-learning/algorithm-application-domains-map.md	1893a2a27686a8946b086d9443e2429a278d3285d9a5f73ef8acf48d2c112bfa	14124	274	agent-09	GLF-0005
lane-09	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-ascii.md	0c2bb01231f5f58f25df61d4aed19588b97df5b16c2e275c06a17fc3fb4de234	8150	167	agent-09	GLF-0006
lane-08	docs_PRD06/graph-learning/bench-testing-pattern-synthesis-mermaid.md	782e7794fec93a62cc7de2940229571501600006857681cfae2ff4e58680dfbb	8816	152	agent-08	GLF-0007
lane-09	docs_PRD06/graph-learning/bloom-filter-shortcut-ascii.md	0f40846b83ad80a6acdae28948d3425de4005dbf3ae4ddc34df3d0094b4430e9	6908	161	agent-09	GLF-0008
lane-08	docs_PRD06/graph-learning/bloom-filter-shortcut-mermaid.md	8c1ecdcdaf77469b5ac1ad705fdc3cb5ff93939df68d4e3788f5856dd69145f2	6126	151	agent-08	GLF-0009
lane-07	docs_PRD06/graph-learning/bm25-wand-pruning-ascii.md	1a3fcf3ef1fb76f5c3fdc1a6f071b2948ce2aa93584ccedb4751da6f25bafc78	7045	165	agent-07	GLF-0010
lane-09	docs_PRD06/graph-learning/bm25-wand-pruning-mermaid.md	7c76b6a28e44cbc8e21b2de19840a4fcef74a0096014761d00e3a9c06892ab27	7965	154	agent-09	GLF-0011
lane-09	docs_PRD06/graph-learning/component-hooking-shortcutting-ascii.md	0e02354f609b81c1d50c14f64bcd9b5d36de503d17c5e91b10999372daaf753d	7148	163	agent-09	GLF-0012
lane-08	docs_PRD06/graph-learning/component-hooking-shortcutting-mermaid.md	f0c9435fa0f6d356df6800cdf9b3a769ca65192fbcbb9fae9c24a5ebe36c25b2	7696	150	agent-08	GLF-0013
lane-08	docs_PRD06/graph-learning/corpus-capstone-pattern-synthesis-ascii.md	750bdbd25f9d61ab36334859dc2b05a6404773aa1fc5c79065b7fdf6de691d75	8716	179	agent-08	GLF-0014
lane-09	docs_PRD06/graph-learning/corpus-capstone-pattern-synthesis-mermaid.md	2e1308dd385ae3c813bdb7ad0a05037da60a6af71bfa5525f2dabe24ba07ca6b	8812	151	agent-09	GLF-0015
lane-07	docs_PRD06/graph-learning/corpus-ledger.tsv	4cb2917b5cd98068891833666e7a17748ba2124ef01b5c1d1941c31ed9633a49	36808	173	agent-07	GLF-0016
lane-09	docs_PRD06/graph-learning/corpus-research-findings.md	40db25102cbdf7b6a49d0529bb277952a9ddc4d9f050f641baf0d72639970f9f	6570	116	agent-09	GLF-0017
lane-08	docs_PRD06/graph-learning/cow-tree-snapshot-ascii.md	b4022a1ea88d3f296e5fabad06d9bd561ad948dc56a7b3307251c4600a2b02d9	7588	169	agent-08	GLF-0018
lane-09	docs_PRD06/graph-learning/cow-tree-snapshot-mermaid.md	abc9d11dd15faccd303186db0a9fd6fed11e83819cdd94e38f76f7baa2712c42	7079	162	agent-09	GLF-0019
lane-08	docs_PRD06/graph-learning/csr-adjacency-layout-ascii.md	fcf0585217335c2ad44b04f8168be310c7ec25ecaef5580f05f50f80d1660a55	7561	173	agent-08	GLF-0020
lane-08	docs_PRD06/graph-learning/csr-adjacency-layout-mermaid.md	8a8fd9ae9c376e4af32aa5318301a855dc377ea8fba958a1039eff414f6c2749	7147	153	agent-08	GLF-0021
lane-08	docs_PRD06/graph-learning/dataflow-compute-pattern-synthesis-ascii.md	5dd5f996bf4de6e89d9c545e6e5c287bb6cd924660839cccc0f9874fb315dfee	7561	164	agent-08	GLF-0022
lane-09	docs_PRD06/graph-learning/dataflow-compute-pattern-synthesis-mermaid.md	e39e1a0f54e5671262a5a9bd8ab05099d3ec33623a2f0fdb4f38cbd94658484d	8446	152	agent-09	GLF-0023
lane-08	docs_PRD06/graph-learning/delta-stepping-buckets-ascii.md	cfc4a0e50af0a1539f687284738c0877b47a3331ab446d8c0d213a5d2c6bc83e	7879	176	agent-08	GLF-0024
lane-07	docs_PRD06/graph-learning/delta-stepping-buckets-mermaid.md	59c1888fbd05d4467c7246a3a4e2eed05ecfa8dc3284811334cf0e984a94a19c	8031	162	agent-07	GLF-0025
lane-09	docs_PRD06/graph-learning/diskann-vamana-layout-ascii.md	01059f65ebfece93fd731cd4032fbc6575f2d51a0786b855ee43db0369d7da54	7080	156	agent-09	GLF-0026
lane-09	docs_PRD06/graph-learning/diskann-vamana-layout-mermaid.md	b23bedb28b7e40f2369607bebd3f51c2d83cd9d0dfcda5fdd941886828c986da	7771	157	agent-09	GLF-0027
lane-08	docs_PRD06/graph-learning/domain-keywords-glossary.md	9e2871b3a6133c4dd3bca348b3d533814c82fbaeb46771ecaf8142321ba8101c	7702	148	agent-08	GLF-0028
lane-08	docs_PRD06/graph-learning/frontier-pushpull-switching-ascii.md	d1e7fc7149beaf890d097a6ec5c6179102775dc375985a0201db444efcb181b1	7527	168	agent-08	GLF-0029
lane-07	docs_PRD06/graph-learning/frontier-pushpull-switching-mermaid.md	45440d67e4ddc751198363cf9686ba03652a3765f3555684f71fe8b372c0bc20	7735	152	agent-07	GLF-0030
lane-07	docs_PRD06/graph-learning/fst-term-dictionary-ascii.md	4938ac2aacd6e3b9e97a09943de525f5e5e85883912391c93fb53c557ae59303	7297	158	agent-07	GLF-0031
lane-09	docs_PRD06/graph-learning/fst-term-dictionary-mermaid.md	3a1d0d68e49b07fd4911d8324fd5f3ef5e31eb15288c3fffb16f6aad4368caa9	8400	150	agent-09	GLF-0032
lane-07	docs_PRD06/graph-learning/full-text-search-pattern-synthesis-ascii.md	252ebc8c6a96090eee278d1d8d0712d7536de79369c00be85c80bda496dae8c0	7961	175	agent-07	GLF-0033
lane-08	docs_PRD06/graph-learning/full-text-search-pattern-synthesis-mermaid.md	2ab36f7f047e9729d98dec75524d663a325013d15ce19386cd942822a2119bae	7770	152	agent-08	GLF-0034
lane-09	docs_PRD06/graph-learning/graph-analytics-pattern-synthesis-ascii.md	1ee8edf8f4eeac7b0a9cd2ebefb6be681695ebfa444ad48d6013236c6157540e	8189	171	agent-09	GLF-0035
