algorithm_id	canonical_name	category	aliases	occurrence_ids	architecture_option_ids
ALG-001	A* heuristic path search	Traversal	A*, a*	A07-O0174,A08-O0224,A08-O0500,A08-O0547,A08-O0898,A09-O0251	ALG-001-A1,ALG-001-A2,ALG-001-A3
ALG-002	Adamic-Adar and common neighbors	Similarity	Adamic-Adar	A08-O0553	ALG-002-A1,ALG-002-A2,ALG-002-A3
ALG-003	Afforest sampled components	Components	Afforest	A08-O0197,A08-O0200,A08-O0232,A08-O0240,A08-O0243,A08-O0248,A08-O0728,A09-O0258,A09-O0259,A09-O0265,A09-O0288,A09-O0303,A09-O0591,A09-O0610	ALG-003-A1,ALG-003-A2,ALG-003-A3
ALG-004	ARIES recovery	Storage	ARIES	A07-O0535,A07-O0957,A08-O0605,A08-O0858,A09-O0934,A09-O1207	ALG-004-A1,ALG-004-A2,ALG-004-A3
ALG-005	Bellman-Ford relaxation	Traversal	Bellman-Ford	A07-O0172,A08-O0495,A08-O0497,A08-O0499,A09-O0595	ALG-005-A1,ALG-005-A2,ALG-005-A3
ALG-006	Betweenness centrality	Centrality	Betweenness, betweenness	A07-O0016,A07-O0020,A07-O0040,A07-O0046,A07-O0058,A07-O0070,A07-O0074,A07-O0075,A08-O0039,A08-O0046,A08-O0057,A08-O0073,A08-O0078,A08-O0081,A08-O0090,A08-O0540,A09-O0070,A09-O0977	ALG-006-A1,ALG-006-A2,ALG-006-A3
ALG-007	BFS frontier traversal	Traversal	BFS, bfs	A07-O0175,A07-O0176,A07-O0179,A07-O0194,A07-O0199,A07-O0200,A07-O0201,A07-O0215,A07-O0216,A07-O0220,A07-O0794,A07-O0800,A07-O0811,A08-O0055,A08-O0069,A08-O0086,A08-O0186,A08-O0191,A08-O0201,A08-O0370,A08-O0387,A08-O0430,A08-O0439,A08-O0446,A08-O0471,A08-O0482,A08-O0502,A08-O0505,A08-O0512,A08-O0518,A08-O0544,A08-O0563,A08-O0612,A08-O0616,A08-O0624,A08-O0625,A08-O0627,A08-O0628,A08-O0633,A08-O0638,A08-O0644,A08-O0710,A08-O0716,A08-O0726,A08-O0748,A08-O0783,A08-O0787,A08-O0788,A08-O0789,A08-O0790,A08-O0791,A08-O0797,A08-O0800,A09-O0012,A09-O0073,A09-O0079,A09-O0236,A09-O0240,A09-O0244,A09-O0261,A09-O0262,A09-O0266,A09-O0415,A09-O0426,A09-O0432,A09-O0438,A09-O0583,A09-O0598,A09-O0608,A09-O0627,A09-O0659,A09-O0662,A09-O0663,A09-O0664,A09-O0668,A09-O0671,A09-O0675,A09-O0914,A09-O0946,A09-O0955,A09-O0956,A09-O0963,A09-O0967,A09-O0970,A09-O0971,A09-O0974,A09-O0987,A09-O0990,A09-O1007,A09-O1015,A09-O1016,A09-O1020,A09-O1022,A09-O1025,A09-O1033,A09-O1038,A09-O1050,A09-O1127,A09-O1131,A09-O1135,A09-O1147,A09-O1149	ALG-007-A1,ALG-007-A2,ALG-007-A3
ALG-008	Bloom and Ribbon filters	Storage	BLOOM, Bloom, Ribbon filter, bloom	A07-O0014,A07-O0241,A07-O0265,A07-O0595,A07-O0602,A07-O0616,A07-O0624,A07-O0664,A07-O0672,A07-O0684,A07-O0690,A07-O0691,A07-O0698,A07-O0706,A07-O0709,A07-O0715,A07-O0717,A07-O0856,A07-O0896,A08-O0004,A08-O0142,A08-O0144,A08-O0145,A08-O0147,A08-O0149,A08-O0154,A08-O0156,A08-O0157,A08-O0158,A08-O0161,A08-O0162,A08-O0163,A08-O0164,A08-O0167,A08-O0169,A08-O0170,A08-O0172,A08-O0173,A08-O0174,A08-O0176,A08-O0178,A08-O0183,A08-O0242,A08-O0266,A08-O0283,A08-O0312,A08-O0393,A08-O0435,A08-O0600,A08-O0927,A08-O1069,A09-O0143,A09-O0145,A09-O0148,A09-O0150,A09-O0152,A09-O0156,A09-O0161,A09-O0162,A09-O0164,A09-O0165,A09-O0166,A09-O0169,A09-O0170,A09-O0171,A09-O0172,A09-O0175,A09-O0177,A09-O0179,A09-O0180,A09-O0181,A09-O0183,A09-O0185,A09-O0187,A09-O0190,A09-O0316,A09-O0329,A09-O0351,A09-O0548,A09-O0560,A09-O0733,A09-O0762,A09-O0779,A09-O0878,A09-O0891,A09-O1062,A09-O1069,A09-O1084,A09-O1090,A09-O1097,A09-O1105,A09-O1107,A09-O1115,A09-O1117	ALG-008-A1,ALG-008-A2,ALG-008-A3
ALG-009	BM25 scoring	Text retrieval	BM25, bm25	A07-O0083,A07-O0085,A07-O0087,A07-O0091,A07-O0093,A07-O0094,A07-O0095,A07-O0096,A07-O0097,A07-O0098,A07-O0109,A07-O0112,A07-O0115,A07-O0116,A07-O0120,A07-O0122,A07-O0132,A07-O0135,A07-O0282,A07-O0290,A07-O0302,A07-O0317,A07-O0322,A07-O0325,A07-O0331,A07-O0630,A07-O0869,A07-O0885,A07-O0907,A07-O0934,A08-O0017,A08-O0268,A08-O0299,A08-O0595,A08-O0656,A08-O0659,A08-O0671,A08-O0684,A08-O0686,A08-O0687,A08-O0693,A08-O0696,A08-O0940,A08-O0979,A08-O0997,A08-O1015,A08-O1037,A08-O1039,A09-O0192,A09-O0194,A09-O0196,A09-O0199,A09-O0201,A09-O0211,A09-O0213,A09-O0215,A09-O0217,A09-O0218,A09-O0220,A09-O0226,A09-O0227,A09-O0229,A09-O0232,A09-O0341,A09-O0856,A09-O0905,A09-O0937	ALG-009-A1,ALG-009-A2,ALG-009-A3
ALG-010	Centrality family	Centrality	centrality	A07-O0015,A07-O0030,A07-O0050,A07-O0057,A07-O0064,A07-O0066,A07-O0072,A07-O0076,A08-O0035,A08-O0043,A08-O0053,A08-O0083,A08-O0092,A08-O0095,A08-O0539,A08-O0899,A08-O0908,A09-O0008,A09-O0033,A09-O0088,A09-O0811,A09-O0818,A09-O0819,A09-O0839	ALG-010-A1,ALG-010-A2,ALG-010-A3
ALG-011	Closeness centrality	Centrality	closeness	A08-O0541	ALG-011-A1,ALG-011-A2,ALG-011-A3
ALG-012	Community detection family	Community	community detection, community modules, modularity	A07-O0017,A07-O0028,A07-O0041,A07-O0053,A07-O0063,A07-O0068,A07-O0810,A08-O0084,A08-O0532,A09-O0006,A09-O0038,A09-O0084,A09-O0089,A09-O0622,A09-O1144,A09-O1158	ALG-012-A1,ALG-012-A2,ALG-012-A3
ALG-013	Weakly connected components	Components	WCC, component labels, connected components, wcc	A07-O0024,A07-O0045,A07-O0078,A07-O0079,A07-O0217,A07-O0625,A07-O0795,A07-O0801,A07-O0804,A07-O0808,A07-O0816,A07-O0821,A08-O0032,A08-O0041,A08-O0047,A08-O0058,A08-O0066,A08-O0082,A08-O0088,A08-O0094,A08-O0098,A08-O0099,A08-O0116,A08-O0117,A08-O0121,A08-O0187,A08-O0202,A08-O0210,A08-O0214,A08-O0218,A08-O0220,A08-O0469,A08-O0533,A08-O0609,A08-O0614,A08-O0643,A08-O0708,A08-O0718,A08-O0727,A08-O0730,A08-O0735,A08-O0745,A08-O0798,A08-O1208,A09-O0001,A09-O0020,A09-O0024,A09-O0032,A09-O0042,A09-O0045,A09-O0047,A09-O0048,A09-O0055,A09-O0058,A09-O0068,A09-O0091,A09-O0094,A09-O0098,A09-O0099,A09-O0119,A09-O0120,A09-O0124,A09-O0237,A09-O0239,A09-O0263,A09-O0267,A09-O0277,A09-O0278,A09-O0283,A09-O0284,A09-O0297,A09-O0298,A09-O0411,A09-O0412,A09-O0413,A09-O0416,A09-O0427,A09-O0588,A09-O0600,A09-O0609,A09-O0613,A09-O0669,A09-O1128,A09-O1132,A09-O1136,A09-O1139,A09-O1140,A09-O1142,A09-O1148,A09-O1155	ALG-013-A1,ALG-013-A2,ALG-013-A3
ALG-014	Copy-on-write tree snapshots	Storage	COPY-ON-WRITE, COW, copy-on-write, cow, path-copy, root flip	A07-O0008,A07-O0534,A07-O0663,A07-O0668,A07-O0675,A07-O0681,A07-O0682,A07-O0688,A07-O0692,A07-O0699,A07-O0704,A07-O0708,A08-O0003,A08-O0252,A08-O0330,A08-O0331,A08-O0335,A08-O0336,A08-O0340,A08-O0341,A08-O0345,A08-O0346,A08-O0349,A08-O0350,A08-O0351,A08-O0355,A08-O0380,A08-O0399,A08-O0424,A08-O0454,A08-O0601,A08-O0603,A08-O0856,A08-O0857,A08-O0914,A08-O0924,A09-O0307,A09-O0387,A09-O0388,A09-O0390,A09-O0394,A09-O0396,A09-O0397,A09-O0398,A09-O0399,A09-O0400,A09-O0401,A09-O0405,A09-O0485,A09-O1061,A09-O1066,A09-O1071,A09-O1073,A09-O1080,A09-O1081,A09-O1082,A09-O1088,A09-O1091,A09-O1098,A09-O1103	ALG-014-A1,ALG-014-A2,ALG-014-A3
