arxiv_id	versioned_id	published	categories	section	title	authors	v003_relevance	local_pdf
1910.05773	1910.05773v2	2019-10-13	cs.DB	tier0	LiveGraph: A Transactional Graph Storage System with Purely Sequential Adjacency List Scans	Xiaowei Zhu, Guanyu Feng, Marco Serafini, Xiaosong Ma, Jiping Yu, Lei Xie, Ashraf Aboulnaga, Wenguang Chen	LiveGraph: transactional graph storage; edge log + sequential scans for WAL/delta bridge.	arxiv-papers/1910.05773-livegraph-a-transactional-graph-storage-system-with-purely-sequential-adjacency-.pdf
2502.10959	2502.10959v1	2025-02-16	cs.DB	tier0	Revisiting the Design of In-Memory Dynamic Graph Storage	Jixian Su, Chiyu Hao, Shixuan Sun, Hao Zhang, Sen Gao, Jiaxin Jiang, Yao Chen, Chenyi Zhang, Bingsheng He, Minyi Guo	Survey/analysis of in-memory dynamic graph storage; memory-overhead warning vs CSR.	arxiv-papers/2502.10959-revisiting-the-design-of-in-memory-dynamic-graph-storage.pdf
2411.06392	2411.06392v2	2024-11-10	cs.DB	tier0	LSMGraph: A High-Performance Dynamic Graph Storage System with Multi-Level CSR	Song Yu, Shufeng Gong, Qian Tao, Sijie Shen, Yanfeng Zhang, Wenyuan Yu, Pengxi Liu, Zhixin Zhang, Hongfu Li, Xiaojian Luo, Ge Yu, Jingren Zhou	LSMGraph: multi-level CSR; closest fit to write-friendly deltas plus read-friendly CSR.	arxiv-papers/2411.06392-lsmgraph-a-high-performance-dynamic-graph-storage-system-with-multi-level-csr.pdf
1802.09984	1802.09984v2	2018-02-27	cs.DB,cs.PL	tier0	Formal Semantics of the Language Cypher	Nadime Francis, Alastair Green, Paolo Guagliardo, Leonid Libkin, Tobias Lindaaker, Victor Marsault, Stefan Plantikow, Mats Rydberg, Martin Schuster, Petra Selmer, Andrés Taylor	Formal Cypher semantics for compatibility oracle.	arxiv-papers/1802.09984-formal-semantics-of-the-language-cypher.pdf
1705.02844	1705.02844v2	2017-05-08	cs.DB	tier0	Formalising opencypher Graph Queries in Relational Algebra	József Marton, Gábor Szárnyas, Dániel Varró	openCypher to relational algebra; bridge to DataFusion-style plans.	arxiv-papers/1705.02844-formalising-opencypher-graph-queries-in-relational-algebra.pdf
2112.06217	2112.06217v1	2021-12-12	cs.DB	tier0	Graph Pattern Matching in GQL and SQL/PGQ	Alin Deutsch, Nadime Francis, Alastair Green, Keith Hare, Bei Li, Leonid Libkin, Tobias Lindaaker, Victor Marsault, Wim Martens, Jan Michels, Filip Murlak, Stefan Plantikow, Petra Selmer, Hannes Voigt, Oskar van Rest, Domagoj Vrgoč, Mingxi Wu, Fred Zemke	Graph pattern matching standards for future-proof API semantics.	arxiv-papers/2112.06217-graph-pattern-matching-in-gql-and-sql-pgq.pdf
2010.15879	2010.15879v1	2020-10-29	cs.DS,cs.DB,cs.DC,cs.IR	tier0	Log(Graph): A Near-Optimal High-Performance Graph Representation	Maciej Besta, Dimitri Stanojevic, Tijana Zivic, Jagpreet Singh, Maurice Hoerold, Torsten Hoefler	Log(Graph): low-overhead graph compression for 50GB-on-8GB goal.	arxiv-papers/2010.15879-log-graph-a-near-optimal-high-performance-graph-representation.pdf
1602.02864	1602.02864v3	2016-02-09	cs.DC	tier0	Semi-External Memory Sparse Matrix Multiplication for Billion-Node Graphs	Da Zheng, Disa Mhembere, Vince Lyzinski, Joshua Vogelstein, Carey E. Priebe, Randal Burns	Sparse matrix operations with graph on disk and vectors in RAM.	arxiv-papers/1602.02864-semi-external-memory-sparse-matrix-multiplication-for-billion-node-graphs.pdf
1504.01039	1504.01039v2	2015-04-04	cs.DC	tier0	Graphs, Matrices, and the GraphBLAS: Seven Good Reasons	Jeremy Kepner, David Bader, Aydın Buluc, John Gilbert, Timothy Mattson, Henning Meyerhenke	Graph algorithms as sparse linear algebra.	arxiv-papers/1504.01039-graphs-matrices-and-the-graphblas-seven-good-reasons.pdf
1606.05790	1606.05790v2	2016-06-18	cs.MS,astro-ph.IM,cs.DC,cs.DS	tier0	Mathematical Foundations of the GraphBLAS	Jeremy Kepner, Peter Aaltonen, David Bader, Aydın Buluc, Franz Franchetti, John Gilbert, Dylan Hutchison, Manoj Kumar, Andrew Lumsdaine, Henning Meyerhenke, Scott McMillan, Jose Moreira, John D. Owens, Carl Yang, Marcin Zalewski, Timothy Mattson	Formal semiring foundations for algorithm substrate.	arxiv-papers/1606.05790-mathematical-foundations-of-the-graphblas.pdf
